,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-08-15 08:00:00,08:00:00,08:00:41,8687,8971,2182.0,6,2182.25,178,2182.0,2182.25,2181.75,2182.25,135,-35,2182.0,13,2182.25,131
2016-08-15 08:01:00,08:01:11,08:01:59,8981,9481,2182.0,14,2182.25,135,2182.0,2182.25,2181.25,2181.25,388,-312,2181.0,237,2181.25,4
2016-08-15 08:02:00,08:02:00,08:02:55,9530,10263,2181.0,239,2181.25,43,2181.25,2181.75,2181.0,2181.5,337,7,2181.5,8,2181.75,73
2016-08-15 08:03:00,08:03:01,08:03:52,10282,10474,2181.5,7,2181.75,79,2181.75,2181.75,2181.25,2181.5,45,21,2181.25,105,2181.75,77
2016-08-15 08:04:00,08:04:03,08:04:53,10514,10618,2181.5,28,2181.75,71,2181.5,2181.75,2181.5,2181.75,25,1,2181.5,39,2181.75,64
2016-08-15 08:05:00,08:05:09,08:05:50,10631,10802,2181.5,42,2181.75,64,2181.75,2181.75,2181.5,2181.75,92,58,2181.5,79,2181.75,14
2016-08-15 08:06:00,08:06:11,08:06:59,10853,11043,2181.5,73,2181.75,38,2181.75,2182.0,2181.75,2182.0,48,-2,2181.75,33,2182.0,99
2016-08-15 08:07:00,08:07:16,08:07:47,11067,11174,2181.75,27,2182.0,109,2182.0,2182.0,2181.75,2181.75,30,-12,2181.5,120,2181.75,11
2016-08-15 08:08:00,08:08:11,08:08:31,11262,11351,2181.5,122,2181.75,22,2181.75,2181.75,2181.75,2181.75,4,4,2181.5,114,2181.75,40
2016-08-15 08:09:00,08:09:00,08:09:32,11461,11641,2181.5,127,2181.75,23,2181.75,2181.75,2181.5,2181.5,33,9,2181.5,117,2181.75,33
2016-08-15 08:10:00,08:10:00,08:10:38,11665,11724,2181.5,114,2181.75,37,2181.5,2181.75,2181.5,2181.75,16,-10,2181.5,146,2181.75,32
2016-08-15 08:11:00,08:11:02,08:11:33,11748,11797,2181.5,151,2181.75,14,2181.75,2181.75,2181.5,2181.75,6,-2,2181.5,144,2181.75,43
2016-08-15 08:12:00,08:12:09,08:12:45,11848,11931,2181.5,157,2181.75,51,2181.75,2181.75,2181.5,2181.75,10,-2,2181.5,146,2181.75,43
2016-08-15 08:13:00,08:13:04,08:13:50,11973,12022,2181.5,158,2181.75,38,2181.75,2181.75,2181.5,2181.5,19,11,2181.5,155,2181.75,41
2016-08-15 08:14:00,08:14:00,08:14:16,12035,12049,2181.5,153,2181.75,47,2181.5,2181.75,2181.5,2181.75,6,4,2181.5,152,2181.75,50
2016-08-15 08:15:00,08:15:00,08:15:40,12070,12131,2181.5,148,2181.75,66,2181.5,2181.75,2181.5,2181.5,19,9,2181.5,151,2181.75,72
2016-08-15 08:16:00,08:16:00,08:16:57,12136,12221,2181.5,153,2181.75,73,2181.5,2181.75,2181.5,2181.75,19,7,2181.5,141,2181.75,77
2016-08-15 08:17:00,08:17:00,08:17:50,12223,12254,2181.5,142,2181.75,77,2181.5,2181.75,2181.5,2181.5,20,0,2181.5,133,2181.75,70
2016-08-15 08:18:00,08:18:00,08:18:21,12256,12325,2181.5,133,2181.75,74,2181.5,2181.75,2181.5,2181.75,107,53,2181.5,165,2181.75,1
2016-08-15 08:19:00,08:19:04,08:19:38,12404,12429,2181.5,129,2181.75,87,2181.75,2181.75,2181.75,2181.75,2,2,2181.5,142,2181.75,79
2016-08-15 08:20:00,08:20:00,08:20:50,12449,12506,2181.5,151,2181.75,67,2181.5,2181.75,2181.5,2181.5,15,3,2181.5,143,2181.75,83
2016-08-15 08:21:00,08:21:00,08:21:52,12527,12587,2181.5,143,2181.75,88,2181.5,2181.75,2181.5,2181.5,10,-2,2181.5,148,2181.75,85
2016-08-15 08:22:00,08:22:00,08:22:50,12591,12622,2181.5,148,2181.75,84,2181.5,2181.5,2181.5,2181.5,7,-7,2181.5,132,2181.75,91
2016-08-15 08:23:00,08:23:00,08:23:50,12625,12641,2181.5,136,2181.75,90,2181.5,2181.5,2181.5,2181.5,5,-5,2181.5,136,2181.75,98
2016-08-15 08:24:00,08:24:00,08:24:50,12645,12710,2181.5,137,2181.75,98,2181.5,2181.75,2181.5,2181.5,11,-1,2181.5,128,2181.75,107
