,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-14 08:00:00,08:00:00,08:00:59,21155,21680,2122.5,108,2122.75,21,2122.75,2123.0,2122.75,2123.0,57,47,2122.75,87,2123.0,91
2016-09-14 08:01:00,08:01:00,08:01:59,21686,22178,2122.75,90,2123.0,92,2123.0,2123.0,2122.25,2122.25,221,-81,2122.25,201,2122.5,88
2016-09-14 08:02:00,08:02:00,08:02:58,22191,22482,2122.25,201,2122.5,88,2122.5,2122.5,2122.25,2122.25,78,16,2122.25,198,2122.5,63
2016-09-14 08:03:00,08:03:00,08:03:54,22488,22755,2122.25,198,2122.5,64,2122.25,2122.5,2122.25,2122.25,54,-6,2122.25,206,2122.5,53
2016-09-14 08:04:00,08:04:00,08:04:54,22762,23191,2122.25,208,2122.5,56,2122.5,2122.75,2122.25,2122.5,188,32,2122.5,53,2122.75,149
2016-09-14 08:05:00,08:05:13,08:05:59,23275,23597,2122.5,53,2122.75,176,2122.5,2122.5,2122.25,2122.5,101,-67,2122.25,128,2122.5,166
2016-09-14 08:06:00,08:06:00,08:06:58,23606,24110,2122.25,142,2122.5,166,2122.25,2122.75,2122.25,2122.5,488,392,2122.5,93,2122.75,112
2016-09-14 08:07:00,08:07:00,08:07:59,24114,24426,2122.5,93,2122.75,114,2122.75,2123.0,2122.5,2122.75,109,63,2122.75,79,2123.0,108
2016-09-14 08:08:00,08:08:00,08:08:58,24430,25031,2122.75,79,2123.0,109,2123.0,2123.25,2122.75,2123.0,157,77,2123.0,96,2123.25,97
2016-09-14 08:09:00,08:09:01,08:09:59,25039,25516,2123.0,96,2123.25,100,2123.25,2123.25,2122.75,2122.75,201,-137,2122.5,138,2122.75,12
2016-09-14 08:10:00,08:10:00,08:10:55,25558,26046,2122.5,136,2122.75,71,2122.75,2122.75,2122.5,2122.75,181,61,2122.5,132,2122.75,3
2016-09-14 08:11:00,08:11:01,08:11:48,26079,26249,2122.5,122,2122.75,22,2122.75,2123.0,2122.75,2123.0,19,5,2122.75,60,2123.0,109
2016-09-14 08:12:00,08:12:05,08:12:59,26280,26663,2122.75,83,2123.0,113,2123.0,2123.5,2123.0,2123.5,100,98,2123.25,97,2123.5,85
2016-09-14 08:13:00,08:13:00,08:13:53,26673,27222,2123.25,97,2123.5,86,2123.5,2123.75,2123.25,2123.5,147,25,2123.25,88,2123.5,67
2016-09-14 08:14:00,08:14:01,08:14:56,27239,27534,2123.25,92,2123.5,58,2123.25,2123.5,2123.25,2123.25,86,-26,2123.25,57,2123.5,119
2016-09-14 08:15:00,08:15:00,08:15:54,27540,27905,2123.25,62,2123.5,120,2123.5,2123.5,2123.25,2123.5,136,68,2123.5,74,2123.75,115
2016-09-14 08:16:00,08:16:19,08:16:56,27923,28005,2123.5,87,2123.75,114,2123.75,2123.75,2123.5,2123.5,20,14,2123.5,97,2123.75,135
2016-09-14 08:17:00,08:17:00,08:17:58,28013,28898,2123.5,96,2123.75,136,2123.75,2125.0,2123.5,2125.0,434,382,2124.75,96,2125.0,44
2016-09-14 08:18:00,08:18:00,08:18:58,28905,31026,2124.75,96,2125.0,48,2125.0,2126.75,2124.75,2126.5,993,341,2126.25,103,2126.75,198
2016-09-14 08:19:00,08:19:00,08:19:51,31044,31746,2126.25,112,2126.5,3,2126.5,2126.75,2126.0,2126.0,245,-125,2126.0,2,2126.25,73
2016-09-14 08:20:00,08:20:00,08:20:55,31828,32383,2126.0,59,2126.25,35,2126.0,2126.25,2125.75,2126.0,253,-83,2125.75,82,2126.0,39
2016-09-14 08:21:00,08:21:01,08:21:48,32396,32559,2125.75,94,2126.0,25,2125.75,2126.0,2125.75,2126.0,61,31,2126.0,13,2126.25,65
2016-09-14 08:22:00,08:22:03,08:22:58,32600,33046,2126.0,34,2126.25,61,2126.25,2126.5,2125.75,2126.5,181,101,2126.25,64,2126.5,42
2016-09-14 08:23:00,08:23:00,08:23:59,33050,33553,2126.25,65,2126.5,42,2126.5,2126.75,2126.25,2126.5,228,-12,2126.25,63,2126.5,52
2016-09-14 08:24:00,08:24:00,08:24:58,33557,33624,2126.25,64,2126.5,52,2126.5,2126.5,2126.25,2126.25,23,1,2126.25,61,2126.5,55
2016-09-14 08:25:00,08:25:13,08:25:59,33643,33824,2126.25,136,2126.5,55,2126.5,2126.75,2126.5,2126.75,159,145,2126.5,142,2126.75,66
2016-09-14 08:26:00,08:26:00,08:26:58,33827,34235,2126.5,142,2126.75,66,2126.75,2127.0,2126.75,2126.75,263,155,2126.75,151,2127.0,32
2016-09-14 08:27:00,08:27:00,08:27:53,34238,34489,2126.75,151,2127.0,32,2126.75,2127.0,2126.75,2127.0,117,3,2126.75,151,2127.0,34
2016-09-14 08:28:00,08:28:00,08:28:59,34521,35002,2126.75,150,2127.0,63,2126.75,2127.0,2126.5,2126.75,377,117,2126.75,69,2127.0,57
2016-09-14 08:29:00,08:29:01,08:29:57,35010,35166,2126.75,70,2127.0,59,2126.75,2127.0,2126.75,2127.0,35,27,2126.75,82,2127.0,48
2016-09-14 08:30:00,08:30:00,08:30:59,35174,35360,2126.75,92,2127.0,45,2127.0,2127.0,2126.75,2127.0,158,146,2126.75,83,2127.0,41
2016-09-14 08:31:00,08:31:04,08:31:59,35365,35863,2126.75,84,2127.0,51,2127.0,2127.25,2126.75,2127.0,317,135,2126.75,81,2127.0,20
2016-09-14 08:32:00,08:32:07,08:32:58,35869,36042,2126.75,80,2127.0,25,2127.0,2127.25,2126.75,2127.0,66,42,2126.75,94,2127.0,23
2016-09-14 08:33:00,08:33:00,08:33:58,36044,36217,2126.75,96,2127.0,23,2126.75,2127.0,2126.75,2126.75,90,-30,2126.5,96,2126.75,1
2016-09-14 08:34:00,08:34:07,08:34:58,36290,37048,2126.5,38,2126.75,138,2126.5,2126.5,2125.75,2126.0,390,-156,2126.0,23,2126.25,66
2016-09-14 08:35:00,08:35:01,08:35:57,37058,37160,2126.0,25,2126.25,67,2126.25,2126.25,2126.0,2126.0,21,13,2126.0,31,2126.25,107
2016-09-14 08:36:00,08:36:00,08:36:57,37168,37360,2126.0,22,2126.25,108,2126.0,2126.25,2125.75,2126.0,87,-17,2126.0,11,2126.25,80
2016-09-14 08:37:00,08:37:02,08:37:54,37437,37833,2126.0,37,2126.25,73,2126.0,2126.5,2126.0,2126.25,193,3,2126.0,136,2126.5,77
2016-09-14 08:38:00,08:38:00,08:38:58,37881,38055,2126.0,111,2126.25,44,2126.0,2126.25,2126.0,2126.25,38,22,2126.0,135,2126.25,18
2016-09-14 08:39:00,08:39:01,08:39:56,38060,38226,2126.0,137,2126.25,14,2126.25,2126.5,2126.25,2126.5,46,46,2126.25,85,2126.5,67
2016-09-14 08:40:00,08:40:00,08:40:58,38257,38622,2126.25,87,2126.5,63,2126.25,2126.5,2125.75,2126.0,373,-143,2125.75,114,2126.0,29
2016-09-14 08:41:00,08:41:00,08:41:58,38626,38791,2125.75,114,2126.0,28,2125.75,2126.25,2125.75,2125.75,88,58,2125.75,124,2126.25,163
2016-09-14 08:42:00,08:42:01,08:42:47,38802,38857,2125.75,119,2126.0,9,2125.75,2126.0,2125.75,2126.0,12,6,2125.75,113,2126.0,14
2016-09-14 08:43:00,08:43:04,08:43:45,38864,39076,2125.75,113,2126.0,22,2126.0,2126.25,2125.75,2126.0,69,35,2126.0,14,2126.25,173
2016-09-14 08:44:00,08:44:00,08:44:57,39110,39369,2126.0,27,2126.25,156,2126.0,2126.25,2125.75,2126.0,137,7,2125.75,107,2126.0,8
2016-09-14 08:45:00,08:45:01,08:45:58,39391,39595,2125.75,98,2126.0,37,2125.75,2126.0,2125.75,2126.0,72,32,2125.75,91,2126.0,38
2016-09-14 08:46:00,08:46:10,08:46:56,39602,39854,2125.75,90,2126.0,35,2126.0,2126.25,2126.0,2126.25,74,38,2126.0,55,2126.25,84
2016-09-14 08:47:00,08:47:03,08:47:58,39862,39962,2126.0,55,2126.25,85,2126.25,2126.25,2126.0,2126.0,14,-4,2126.0,99,2126.25,61
2016-09-14 08:48:00,08:48:06,08:48:55,39974,40266,2126.0,101,2126.25,54,2126.25,2126.25,2126.0,2126.0,118,-78,2125.75,70,2126.0,58
2016-09-14 08:49:00,08:49:02,08:49:43,40279,40650,2125.75,67,2126.0,47,2125.75,2126.0,2125.75,2125.75,174,-22,2125.5,94,2126.0,105
2016-09-14 08:50:00,08:50:02,08:50:58,40703,40953,2125.5,88,2125.75,46,2125.75,2126.0,2125.75,2125.75,98,-2,2125.75,1,2126.0,95
2016-09-14 08:51:00,08:51:01,08:51:57,40994,41130,2125.75,4,2126.0,103,2126.0,2126.0,2125.75,2126.0,12,6,2125.75,41,2126.0,75
2016-09-14 08:52:00,08:52:01,08:52:58,41139,41646,2125.75,41,2126.0,75,2126.0,2126.5,2125.75,2126.25,172,156,2126.25,81,2126.5,112
2016-09-14 08:53:00,08:53:06,08:53:59,41687,42026,2126.25,83,2126.5,113,2126.25,2126.5,2126.25,2126.5,101,-57,2126.25,21,2126.5,124
2016-09-14 08:54:00,08:54:00,08:54:57,42029,42259,2126.25,22,2126.5,125,2126.25,2126.5,2126.25,2126.25,49,9,2126.25,56,2126.5,75
2016-09-14 08:55:00,08:55:03,08:55:52,42305,42367,2126.25,34,2126.5,95,2126.25,2126.5,2126.25,2126.5,14,-4,2126.25,32,2126.5,100
2016-09-14 08:56:00,08:56:05,08:56:56,42423,42717,2126.25,64,2126.5,65,2126.25,2126.5,2126.25,2126.5,100,50,2126.5,4,2126.75,177
2016-09-14 08:57:00,08:57:00,08:57:58,42766,42941,2126.5,29,2126.75,164,2126.5,2126.5,2126.25,2126.25,30,-26,2126.25,76,2126.5,35
2016-09-14 08:58:00,08:58:11,08:58:22,42957,43001,2126.25,78,2126.5,36,2126.25,2126.25,2126.25,2126.25,14,-14,2126.25,78,2126.5,39
2016-09-14 08:59:00,08:59:01,08:59:59,43017,43262,2126.25,75,2126.5,44,2126.5,2126.5,2126.25,2126.25,73,31,2126.25,33,2126.5,52
2016-09-14 09:00:00,09:00:01,09:00:43,43306,43482,2126.25,52,2126.5,57,2126.5,2126.5,2126.25,2126.5,87,11,2126.25,73,2126.5,23
2016-09-14 09:01:00,09:01:01,09:01:54,43509,43681,2126.25,69,2126.5,43,2126.5,2126.5,2126.25,2126.25,62,-10,2126.25,8,2126.5,102
2016-09-14 09:02:00,09:02:05,09:02:58,43728,44047,2126.25,44,2126.5,87,2126.5,2126.5,2126.25,2126.5,61,25,2126.25,77,2126.5,44
2016-09-14 09:03:00,09:03:00,09:03:48,44050,44282,2126.25,78,2126.5,43,2126.5,2126.5,2126.25,2126.5,14,-4,2126.25,59,2126.5,53
2016-09-14 09:04:00,09:04:14,09:04:57,44304,44356,2126.25,60,2126.5,51,2126.5,2126.5,2126.25,2126.25,14,-2,2126.25,57,2126.5,72
2016-09-14 09:05:00,09:05:09,09:05:52,44375,44481,2126.25,52,2126.5,82,2126.25,2126.5,2126.25,2126.5,71,37,2126.25,68,2126.5,25
2016-09-14 09:06:00,09:06:00,09:06:56,44532,44678,2126.25,75,2126.5,22,2126.5,2126.75,2126.5,2126.75,52,22,2126.5,61,2126.75,161
2016-09-14 09:07:00,09:07:03,09:07:55,44692,44764,2126.5,75,2126.75,159,2126.5,2126.5,2126.5,2126.5,19,-19,2126.5,41,2126.75,179
2016-09-14 09:08:00,09:08:14,09:08:45,44776,44931,2126.5,45,2126.75,178,2126.5,2126.75,2126.5,2126.75,67,43,2126.5,74,2126.75,87
2016-09-14 09:09:00,09:09:00,09:09:59,44995,45182,2126.5,67,2126.75,112,2126.75,2126.75,2126.5,2126.75,51,-3,2126.5,65,2126.75,84
2016-09-14 09:10:00,09:10:13,09:10:51,45224,45432,2126.5,134,2126.75,59,2126.75,2127.0,2126.75,2127.0,79,65,2126.75,130,2127.0,78
2016-09-14 09:11:00,09:11:02,09:11:56,45484,45809,2126.75,132,2127.0,85,2127.0,2127.25,2127.0,2127.25,236,226,2127.0,85,2127.25,46
2016-09-14 09:12:00,09:12:04,09:12:55,45815,46296,2127.0,85,2127.25,47,2127.25,2127.5,2127.25,2127.5,305,185,2127.25,141,2127.5,29
2016-09-14 09:13:00,09:13:04,09:13:58,46331,46634,2127.25,138,2127.5,54,2127.5,2127.75,2127.25,2127.75,164,108,2127.5,83,2127.75,56
2016-09-14 09:14:00,09:14:01,09:14:59,46645,47104,2127.5,82,2127.75,58,2127.75,2127.75,2127.5,2127.75,249,-9,2127.5,83,2127.75,69
2016-09-14 09:15:00,09:15:03,09:15:57,47167,47857,2127.5,104,2127.75,56,2127.75,2128.0,2127.5,2127.75,303,-51,2127.5,99,2127.75,24
2016-09-14 09:16:00,09:16:00,09:16:59,47893,48346,2127.5,91,2127.75,36,2127.5,2127.75,2127.25,2127.5,158,-38,2127.5,70,2127.75,37
