,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-10-21 08:00:00,08:00:00,08:00:58,14389,14791,2137.25,55,2137.5,103,2137.25,2137.75,2137.25,2137.25,190,40,2137.25,67,2137.5,110
2016-10-21 08:01:00,08:01:06,08:01:58,14813,15307,2137.25,71,2137.5,117,2137.25,2137.5,2137.0,2137.25,309,-175,2137.25,3,2137.5,93
2016-10-21 08:02:00,08:02:13,08:02:46,15355,15420,2137.0,132,2137.25,59,2137.25,2137.25,2137.0,2137.0,26,10,2137.0,123,2137.25,60
2016-10-21 08:03:00,08:03:00,08:03:57,15438,15739,2137.0,125,2137.25,64,2137.0,2137.25,2136.5,2136.5,190,-176,2136.5,37,2136.75,97
2016-10-21 08:04:00,08:04:00,08:04:58,15746,16175,2136.5,35,2136.75,96,2136.5,2136.75,2136.25,2136.5,140,-44,2136.5,2,2136.75,121
2016-10-21 08:05:00,08:05:17,08:05:46,16233,16313,2136.25,93,2136.5,52,2136.25,2136.25,2136.25,2136.25,67,-67,2136.25,12,2136.5,140
2016-10-21 08:06:00,08:06:00,08:06:59,16341,16520,2136.25,15,2136.5,145,2136.25,2136.25,2136.25,2136.25,59,-59,2136.25,39,2136.5,151
2016-10-21 08:07:00,08:07:01,08:07:56,16525,17016,2136.25,36,2136.5,151,2136.25,2136.25,2136.0,2136.25,219,-39,2136.0,289,2136.25,106
2016-10-21 08:08:00,08:08:02,08:08:52,17036,17129,2136.0,296,2136.25,96,2136.25,2136.25,2136.0,2136.25,10,-2,2136.0,288,2136.25,112
2016-10-21 08:09:00,08:09:00,08:09:58,17137,17266,2136.0,287,2136.25,125,2136.0,2136.25,2136.0,2136.25,80,-38,2136.0,247,2136.25,86
2016-10-21 08:10:00,08:10:00,08:10:53,17270,17364,2136.0,249,2136.25,86,2136.0,2136.25,2136.0,2136.25,22,-10,2136.0,202,2136.25,119
2016-10-21 08:11:00,08:11:00,08:11:55,17382,17496,2136.0,203,2136.25,141,2136.0,2136.25,2136.0,2136.0,48,-8,2136.0,206,2136.25,153
2016-10-21 08:12:00,08:12:00,08:12:56,17500,17702,2136.0,206,2136.25,150,2136.0,2136.25,2136.0,2136.0,203,-161,2135.75,87,2136.0,71
2016-10-21 08:13:00,08:13:00,08:13:50,17712,18025,2135.75,87,2136.0,90,2135.75,2136.0,2135.75,2135.75,154,-30,2135.75,50,2136.0,71
2016-10-21 08:14:00,08:14:17,08:14:54,18049,18261,2135.75,47,2136.0,77,2135.75,2136.0,2135.5,2135.5,112,-36,2135.5,103,2135.75,24
2016-10-21 08:15:00,08:15:00,08:15:33,18289,18334,2135.5,109,2135.75,29,2135.75,2135.75,2135.5,2135.75,6,2,2135.5,117,2135.75,45
2016-10-21 08:16:00,08:16:03,08:16:53,18369,18676,2135.5,115,2135.75,105,2135.75,2135.75,2135.5,2135.5,207,-77,2135.25,119,2135.5,18
2016-10-21 08:17:00,08:17:00,08:17:54,18688,18864,2135.25,117,2135.5,17,2135.5,2135.5,2135.25,2135.5,38,-20,2135.25,74,2135.5,64
2016-10-21 08:18:00,08:18:07,08:18:50,18879,18905,2135.25,81,2135.5,59,2135.25,2135.5,2135.25,2135.25,8,-6,2135.25,72,2135.5,78
2016-10-21 08:19:00,08:19:07,08:19:59,18911,19295,2135.25,79,2135.5,78,2135.25,2135.5,2135.25,2135.25,227,-93,2135.25,12,2135.5,169
2016-10-21 08:20:00,08:20:00,08:20:47,19309,19439,2135.25,25,2135.5,163,2135.25,2135.5,2135.25,2135.25,43,21,2135.25,57,2135.5,142
2016-10-21 08:21:00,08:21:19,08:21:59,19447,19665,2135.25,54,2135.5,148,2135.25,2135.75,2135.25,2135.5,160,134,2135.5,100,2135.75,88
2016-10-21 08:22:00,08:22:03,08:22:55,19674,19746,2135.5,106,2135.75,92,2135.75,2135.75,2135.5,2135.5,10,4,2135.5,100,2135.75,112
2016-10-21 08:23:00,08:23:06,08:23:59,19784,19971,2135.5,60,2135.75,158,2135.5,2135.5,2135.25,2135.25,94,-20,2135.25,99,2135.5,52
2016-10-21 08:24:00,08:24:25,08:24:42,19991,20030,2135.25,105,2135.5,43,2135.5,2135.5,2135.25,2135.25,8,2,2135.25,103,2135.5,59
2016-10-21 08:25:00,08:25:00,08:25:58,20050,20371,2135.25,113,2135.5,75,2135.25,2135.5,2135.0,2135.25,259,1,2135.0,183,2135.25,60
