,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-22 08:00:00,08:00:00,08:00:51,11513,12296,2078.0,129,2078.25,112,2078.0,2078.0,2077.25,2077.5,470,-184,2077.5,35,2077.75,39
2016-06-22 08:01:00,08:01:00,08:01:59,12313,12550,2077.5,42,2077.75,43,2077.5,2077.75,2077.5,2077.75,49,3,2077.5,56,2077.75,52
2016-06-22 08:02:00,08:02:00,08:02:55,12555,12988,2077.5,57,2077.75,46,2077.5,2077.75,2077.25,2077.25,202,-146,2077.25,1,2077.5,108
2016-06-22 08:03:00,08:03:02,08:03:59,13023,13293,2077.25,45,2077.5,113,2077.5,2077.5,2077.0,2077.25,73,-29,2077.25,54,2077.5,96
2016-06-22 08:04:00,08:04:00,08:04:57,13299,13445,2077.25,63,2077.5,97,2077.5,2077.75,2077.25,2077.75,117,105,2077.5,79,2077.75,138
2016-06-22 08:05:00,08:05:00,08:05:59,13449,13791,2077.5,78,2077.75,138,2077.75,2078.25,2077.5,2078.25,305,273,2078.0,70,2078.25,33
2016-06-22 08:06:00,08:06:00,08:06:57,13793,14087,2078.0,71,2078.25,33,2078.0,2078.5,2078.0,2078.25,139,19,2078.0,52,2078.25,9
2016-06-22 08:07:00,08:07:00,08:07:53,14094,14249,2078.0,53,2078.25,6,2078.0,2078.25,2078.0,2078.0,47,-33,2078.0,53,2078.25,17
2016-06-22 08:08:00,08:08:00,08:08:59,14263,14491,2078.0,50,2078.25,39,2078.0,2078.25,2078.0,2078.0,135,-35,2078.0,4,2078.25,123
2016-06-22 08:09:00,08:09:01,08:09:57,14519,14735,2078.0,34,2078.25,121,2078.0,2078.0,2078.0,2078.0,43,-9,2078.0,1,2078.0,1
2016-06-22 08:10:00,08:10:00,08:10:59,14757,14907,2077.75,67,2078.0,12,2078.0,2078.0,2077.75,2077.75,48,-26,2077.75,47,2078.0,55
