,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-10-07 08:00:00,08:00:00,08:00:56,22509,23370,2152.0,140,2152.25,181,2152.25,2152.5,2152.0,2152.5,513,-15,2152.25,53,2152.5,217
2016-10-07 08:01:00,08:01:00,08:01:54,23383,23776,2152.25,93,2152.5,217,2152.5,2152.5,2152.0,2152.25,243,5,2152.25,6,2152.5,206
2016-10-07 08:02:00,08:02:00,08:02:59,23803,24422,2152.25,38,2152.5,201,2152.5,2152.75,2152.25,2152.75,343,221,2152.5,51,2152.75,27
2016-10-07 08:03:00,08:03:00,08:03:52,24445,24696,2152.5,59,2152.75,23,2152.75,2152.75,2152.5,2152.75,147,75,2152.5,71,2152.75,18
2016-10-07 08:04:00,08:04:02,08:04:57,24755,25153,2152.5,72,2152.75,48,2152.5,2152.5,2152.25,2152.25,167,-119,2152.25,44,2152.5,57
2016-10-07 08:05:00,08:05:04,08:05:59,25169,25535,2152.25,55,2152.5,59,2152.5,2152.5,2152.0,2152.25,114,-96,2152.0,37,2152.25,57
2016-10-07 08:06:00,08:06:02,08:06:53,25546,25938,2152.0,49,2152.25,58,2152.25,2152.25,2151.75,2152.0,161,-29,2152.0,28,2152.25,71
2016-10-07 08:07:00,08:07:00,08:07:59,25959,26417,2152.0,54,2152.25,70,2152.0,2152.25,2151.75,2151.75,298,-84,2151.75,1,2152.0,93
2016-10-07 08:08:00,08:08:00,08:08:55,26426,26773,2151.75,11,2152.0,89,2152.0,2152.0,2151.5,2151.5,181,-9,2151.5,153,2151.75,104
2016-10-07 08:09:00,08:09:01,08:09:59,26776,27038,2151.5,154,2151.75,111,2151.75,2151.75,2151.5,2151.5,357,-303,2151.5,74,2151.75,68
2016-10-07 08:10:00,08:10:03,08:10:58,27050,27440,2151.5,78,2151.75,75,2151.75,2151.75,2151.5,2151.75,132,46,2151.5,109,2151.75,2
2016-10-07 08:11:00,08:11:01,08:11:58,27474,27792,2151.5,93,2151.75,27,2151.75,2151.75,2151.5,2151.5,61,13,2151.5,77,2151.75,67
2016-10-07 08:12:00,08:12:02,08:12:57,27800,28056,2151.5,83,2151.75,69,2151.5,2151.75,2151.5,2151.5,115,1,2151.5,116,2151.75,41
2016-10-07 08:13:00,08:13:00,08:13:57,28059,28201,2151.5,117,2151.75,42,2151.75,2151.75,2151.5,2151.5,62,-20,2151.5,102,2151.75,33
2016-10-07 08:14:00,08:14:00,08:14:57,28213,28440,2151.5,103,2151.75,28,2151.75,2152.0,2151.75,2151.75,81,11,2151.75,39,2152.0,103
2016-10-07 08:15:00,08:15:00,08:15:58,28453,28868,2151.75,33,2152.0,103,2151.75,2152.25,2151.75,2152.0,188,118,2152.0,76,2152.25,37
2016-10-07 08:16:00,08:16:00,08:16:55,28881,29454,2152.0,75,2152.25,53,2152.25,2153.0,2152.0,2152.5,356,216,2152.5,44,2152.75,49
2016-10-07 08:17:00,08:17:08,08:17:55,29469,29512,2152.5,50,2152.75,54,2152.5,2152.75,2152.5,2152.5,13,-3,2152.5,43,2152.75,42
2016-10-07 08:18:00,08:18:01,08:18:54,29514,29906,2152.5,43,2152.75,50,2152.75,2152.75,2152.5,2152.5,126,-26,2152.5,41,2152.75,72
2016-10-07 08:19:00,08:19:00,08:19:53,29920,30371,2152.5,32,2152.75,74,2152.5,2152.5,2152.25,2152.5,236,-62,2152.5,26,2152.75,87
2016-10-07 08:20:00,08:20:00,08:20:52,30390,30616,2152.5,29,2152.75,88,2152.5,2152.75,2152.5,2152.5,76,24,2152.5,65,2152.75,20
2016-10-07 08:21:00,08:21:00,08:21:59,30651,30995,2152.5,52,2152.75,36,2152.5,2152.75,2152.25,2152.5,91,-33,2152.5,1,2152.75,89
2016-10-07 08:22:00,08:22:00,08:22:59,31025,31330,2152.5,19,2152.75,82,2152.5,2152.75,2152.5,2152.75,79,31,2152.5,30,2152.75,75
2016-10-07 08:23:00,08:23:00,08:23:38,31336,31646,2152.5,30,2152.75,73,2152.5,2152.75,2152.25,2152.5,157,-67,2152.25,61,2152.5,95
2016-10-07 08:24:00,08:24:18,08:24:54,31666,31843,2152.25,66,2152.5,108,2152.5,2152.75,2152.25,2152.75,112,108,2152.5,90,2152.75,17
2016-10-07 08:25:00,08:25:15,08:25:59,31905,32111,2152.5,103,2152.75,19,2152.75,2153.0,2152.75,2153.0,121,117,2153.0,29,2153.25,91
2016-10-07 08:26:00,08:26:01,08:26:54,32166,32504,2153.0,65,2153.25,85,2153.25,2153.25,2153.0,2153.0,113,-21,2153.0,42,2153.25,79
2016-10-07 08:27:00,08:27:00,08:27:51,32511,32697,2153.0,45,2153.25,71,2153.0,2153.25,2153.0,2153.25,81,-39,2153.0,42,2153.25,86
2016-10-07 08:28:00,08:28:03,08:28:48,32725,32908,2153.0,22,2153.25,92,2153.0,2153.25,2153.0,2153.25,82,-16,2153.0,37,2153.25,74
2016-10-07 08:29:00,08:29:08,08:29:43,32924,32965,2153.0,37,2153.25,75,2153.25,2153.25,2153.0,2153.25,19,17,2153.0,39,2153.25,69
2016-10-07 08:30:00,08:30:03,08:30:54,32970,33141,2153.0,40,2153.25,70,2153.0,2153.25,2152.75,2153.0,87,25,2152.75,70,2153.0,5
2016-10-07 08:31:00,08:31:03,08:31:38,33189,33244,2152.75,66,2153.0,62,2153.0,2153.0,2152.75,2152.75,8,4,2152.75,90,2153.0,60
2016-10-07 08:32:00,08:32:02,08:32:57,33279,33349,2152.75,78,2153.0,61,2152.75,2153.0,2152.75,2153.0,49,43,2152.75,79,2153.0,29
2016-10-07 08:33:00,08:33:02,08:33:53,33375,33589,2152.75,86,2153.0,20,2153.0,2153.0,2152.75,2152.75,156,-84,2152.5,88,2152.75,41
2016-10-07 08:34:00,08:34:12,08:34:51,33603,33644,2152.5,88,2152.75,48,2152.5,2152.75,2152.5,2152.5,9,-5,2152.5,83,2152.75,74
2016-10-07 08:35:00,08:35:00,08:35:58,33660,33724,2152.5,84,2152.75,77,2152.75,2152.75,2152.5,2152.5,3,-1,2152.5,114,2152.75,54
2016-10-07 08:36:00,08:36:00,08:36:49,33732,33937,2152.5,114,2152.75,55,2152.75,2152.75,2152.25,2152.25,137,-131,2152.25,44,2152.5,86
2016-10-07 08:37:00,08:37:06,08:37:39,33945,33978,2152.25,41,2152.5,86,2152.25,2152.25,2152.25,2152.25,8,-8,2152.25,54,2152.5,81
2016-10-07 08:38:00,08:38:03,08:38:44,34011,34095,2152.25,69,2152.5,59,2152.25,2152.25,2152.25,2152.25,23,-23,2152.25,53,2152.5,67
2016-10-07 08:39:00,08:39:00,08:39:56,34104,34573,2152.25,54,2152.5,68,2152.25,2152.5,2152.0,2152.25,249,107,2152.25,72,2152.5,42
2016-10-07 08:40:00,08:40:02,08:40:57,34593,34868,2152.25,59,2152.5,69,2152.25,2152.5,2152.0,2152.0,105,-11,2152.0,171,2152.25,54
2016-10-07 08:41:00,08:41:07,08:41:49,34884,34978,2152.0,172,2152.25,48,2152.0,2152.25,2152.0,2152.0,14,-4,2152.0,166,2152.25,47
2016-10-07 08:42:00,08:42:04,08:42:47,35034,35362,2152.0,149,2152.25,54,2152.25,2152.25,2151.75,2151.75,272,-88,2151.75,102,2152.0,17
2016-10-07 08:43:00,08:43:00,08:43:57,35381,35654,2151.75,105,2152.0,29,2151.75,2151.75,2151.5,2151.75,145,-103,2151.5,140,2151.75,67
2016-10-07 08:44:00,08:44:05,08:44:59,35657,35970,2151.5,138,2151.75,64,2151.75,2151.75,2151.5,2151.5,370,-364,2151.5,21,2151.75,88
2016-10-07 08:45:00,08:45:05,08:45:58,35995,36714,2151.5,42,2151.75,90,2151.75,2151.75,2150.5,2150.75,857,-557,2150.75,48,2151.0,55
2016-10-07 08:46:00,08:46:00,08:46:59,36732,37272,2150.75,38,2151.0,66,2151.0,2151.25,2150.75,2150.75,260,-16,2150.75,57,2151.0,71
2016-10-07 08:47:00,08:47:00,08:47:59,37278,37431,2150.75,57,2151.0,71,2151.0,2151.0,2150.75,2150.75,83,-77,2150.75,28,2151.0,67
2016-10-07 08:48:00,08:48:00,08:48:57,37433,37763,2150.75,28,2151.0,68,2151.0,2151.0,2150.5,2150.75,164,-30,2150.5,85,2150.75,65
2016-10-07 08:49:00,08:49:00,08:49:59,37771,37993,2150.5,89,2150.75,64,2150.75,2150.75,2150.5,2150.5,298,-282,2150.5,45,2150.75,33
2016-10-07 08:50:00,08:50:00,08:50:52,37995,38417,2150.5,45,2150.75,84,2150.5,2150.75,2150.5,2150.75,270,52,2150.5,83,2150.75,1
2016-10-07 08:51:00,08:51:02,08:51:59,38458,38721,2150.5,74,2150.75,27,2150.75,2151.25,2150.75,2151.0,88,54,2150.75,98,2151.25,87
2016-10-07 08:52:00,08:52:00,08:52:52,38734,38891,2150.75,97,2151.25,87,2151.25,2151.25,2151.0,2151.0,39,7,2151.0,51,2151.25,90
2016-10-07 08:53:00,08:53:03,08:53:59,38900,39216,2151.0,52,2151.25,89,2151.0,2151.25,2150.75,2150.75,104,-44,2150.75,85,2151.0,51
2016-10-07 08:54:00,08:54:01,08:54:56,39220,39581,2150.75,86,2151.0,51,2150.75,2151.25,2150.75,2150.75,94,-18,2150.75,97,2151.0,25
2016-10-07 08:55:00,08:55:01,08:55:49,39607,39835,2150.75,89,2151.0,42,2150.75,2151.0,2150.75,2150.75,22,2,2150.75,109,2151.0,44
2016-10-07 08:56:00,08:56:00,08:56:54,39843,39970,2150.75,112,2151.0,44,2150.75,2151.0,2150.75,2150.75,26,0,2150.75,112,2151.0,44
2016-10-07 08:57:00,08:57:04,08:57:59,39983,40103,2150.75,112,2151.0,46,2151.0,2151.0,2150.75,2150.75,52,10,2150.75,85,2151.0,58
2016-10-07 08:58:00,08:58:00,08:58:59,40109,40222,2150.75,82,2151.0,58,2151.0,2151.0,2150.75,2151.0,37,-11,2150.75,86,2151.0,32
2016-10-07 08:59:00,08:59:00,08:59:59,40231,40636,2150.75,90,2151.0,30,2150.75,2151.0,2150.5,2150.75,258,46,2150.75,9,2151.0,81
2016-10-07 09:00:00,09:00:00,09:00:54,40645,41101,2150.75,14,2151.0,87,2150.75,2151.0,2150.25,2150.75,316,-26,2150.5,93,2150.75,60
