,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-23 08:00:00,08:00:00,08:00:59,12526,13253,2167.25,18,2167.5,107,2167.5,2167.75,2167.0,2167.75,465,53,2167.5,226,2167.75,13
2016-09-23 08:01:00,08:01:00,08:01:57,13261,14186,2167.5,225,2167.75,15,2167.75,2168.0,2167.25,2168.0,504,124,2167.75,120,2168.0,16
2016-09-23 08:02:00,08:02:02,08:02:56,14205,14502,2167.75,119,2168.0,42,2167.75,2168.0,2167.75,2167.75,191,-115,2167.75,40,2168.0,71
2016-09-23 08:03:00,08:03:00,08:03:59,14511,14861,2167.75,41,2168.0,64,2168.0,2168.0,2167.5,2167.75,125,-77,2167.5,53,2167.75,46
2016-09-23 08:04:00,08:04:00,08:04:58,14863,15241,2167.5,54,2167.75,46,2167.5,2167.75,2167.25,2167.5,209,-89,2167.5,1,2167.75,66
2016-09-23 08:05:00,08:05:05,08:05:59,15271,15544,2167.5,40,2167.75,62,2167.5,2167.75,2167.25,2167.75,135,-1,2167.5,97,2167.75,55
2016-09-23 08:06:00,08:06:01,08:06:55,15575,16065,2167.5,86,2167.75,59,2167.75,2168.0,2167.5,2167.75,242,58,2167.75,45,2168.0,85
2016-09-23 08:07:00,08:07:00,08:07:50,16074,16473,2167.75,37,2168.0,86,2167.75,2167.75,2167.5,2167.75,192,-82,2167.75,1,2168.0,84
2016-09-23 08:08:00,08:08:06,08:08:59,16508,16708,2167.75,6,2168.0,78,2167.75,2167.75,2167.25,2167.25,86,-64,2167.25,7,2167.5,90
2016-09-23 08:09:00,08:09:01,08:09:59,16719,17093,2167.25,8,2167.5,90,2167.25,2167.5,2167.25,2167.5,142,6,2167.25,105,2167.5,18
2016-09-23 08:10:00,08:10:02,08:10:59,17101,17515,2167.25,107,2167.5,4,2167.5,2168.0,2167.5,2168.0,162,54,2167.75,66,2168.0,69
2016-09-23 08:11:00,08:11:00,08:11:59,17521,17975,2167.75,69,2168.0,68,2167.75,2168.0,2167.5,2167.5,196,40,2167.5,30,2167.75,60
2016-09-23 08:12:00,08:12:00,08:12:42,17980,18239,2167.5,27,2167.75,60,2167.5,2168.0,2167.5,2168.0,106,62,2167.75,71,2168.0,78
