,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-10-28 08:00:00,08:00:00,08:00:59,14298,15072,2128.0,67,2128.25,65,2128.0,2128.5,2128.0,2128.25,426,48,2128.0,132,2128.25,2
2016-10-28 08:01:00,08:01:00,08:01:59,15098,15506,2128.0,124,2128.25,6,2128.25,2128.5,2128.0,2128.25,151,23,2128.0,105,2128.25,26
2016-10-28 08:02:00,08:02:00,08:02:57,15512,15891,2128.0,105,2128.25,30,2128.0,2128.25,2127.75,2128.25,322,-42,2128.0,70,2128.25,55
2016-10-28 08:03:00,08:03:00,08:03:54,15895,15963,2128.0,71,2128.25,60,2128.0,2128.25,2128.0,2128.0,28,10,2128.0,51,2128.25,82
2016-10-28 08:04:00,08:04:01,08:04:56,15971,16048,2128.0,53,2128.25,81,2128.0,2128.25,2128.0,2128.0,15,-3,2128.0,71,2128.25,68
2016-10-28 08:05:00,08:05:00,08:05:37,16053,16103,2128.0,70,2128.25,71,2128.0,2128.25,2128.0,2128.0,4,-2,2128.0,64,2128.25,96
2016-10-28 08:06:00,08:06:01,08:06:54,16122,16302,2128.0,77,2128.25,98,2128.0,2128.0,2127.75,2128.0,148,10,2127.75,87,2128.25,112
2016-10-28 08:07:00,08:07:02,08:07:59,16369,16577,2127.75,78,2128.0,83,2128.0,2128.25,2128.0,2128.25,236,144,2128.0,114,2128.25,1
2016-10-28 08:08:00,08:08:00,08:08:51,16594,16637,2128.0,100,2128.25,20,2128.25,2128.25,2128.25,2128.25,28,28,2128.25,1,2128.5,163
2016-10-28 08:09:00,08:09:00,08:09:28,16670,16760,2128.25,22,2128.5,160,2128.5,2128.5,2128.25,2128.5,15,7,2128.25,29,2128.5,151
2016-10-28 08:10:00,08:10:02,08:10:59,16816,17585,2128.25,84,2128.5,136,2128.5,2129.0,2128.5,2128.75,878,116,2128.5,58,2128.75,1
2016-10-28 08:11:00,08:11:04,08:11:55,17634,18633,2128.5,100,2128.75,21,2128.75,2129.5,2128.5,2129.0,1083,39,2128.75,51,2129.0,91
2016-10-28 08:12:00,08:12:03,08:12:57,18647,18877,2128.75,54,2129.0,95,2129.0,2129.0,2128.5,2128.75,160,56,2128.75,5,2129.0,122
2016-10-28 08:13:00,08:13:02,08:13:59,18925,19069,2128.75,16,2129.0,104,2128.75,2129.0,2128.5,2128.75,48,4,2128.75,42,2129.0,112
2016-10-28 08:14:00,08:14:00,08:14:43,19073,19258,2128.75,34,2129.0,106,2128.75,2129.0,2128.5,2128.75,150,12,2128.5,129,2129.0,91
2016-10-28 08:15:00,08:15:07,08:15:49,19296,19468,2128.75,89,2129.0,81,2128.75,2129.0,2128.75,2129.0,137,-25,2128.75,28,2129.0,65
2016-10-28 08:16:00,08:16:22,08:16:59,19507,19639,2128.75,90,2129.0,71,2129.0,2129.0,2128.5,2128.5,81,-71,2128.5,118,2128.75,19
2016-10-28 08:17:00,08:17:01,08:17:59,19650,19795,2128.5,119,2128.75,50,2128.5,2128.75,2128.5,2128.5,72,52,2128.5,130,2128.75,19
2016-10-28 08:18:00,08:18:06,08:18:54,19809,19926,2128.5,131,2128.75,33,2128.5,2128.75,2128.5,2128.5,62,0,2128.5,125,2128.75,13
2016-10-28 08:19:00,08:19:11,08:19:55,19952,20019,2128.5,128,2128.75,24,2128.75,2128.75,2128.5,2128.5,25,5,2128.5,119,2128.75,58
2016-10-28 08:20:00,08:20:00,08:20:48,20025,20078,2128.5,119,2128.75,63,2128.5,2128.75,2128.5,2128.5,17,-15,2128.5,63,2128.75,84
2016-10-28 08:21:00,08:21:00,08:21:34,20090,20142,2128.5,65,2128.75,90,2128.5,2128.75,2128.5,2128.75,24,4,2128.5,95,2128.75,94
2016-10-28 08:22:00,08:22:00,08:22:30,20182,20205,2128.5,96,2128.75,83,2128.5,2128.5,2128.5,2128.5,5,-5,2128.5,74,2128.75,121
2016-10-28 08:23:00,08:23:00,08:23:34,20218,20611,2128.5,72,2128.75,118,2128.5,2128.5,2128.25,2128.5,272,64,2128.5,28,2128.75,92
2016-10-28 08:24:00,08:24:00,08:24:55,20674,20836,2128.5,70,2128.75,69,2128.5,2128.5,2128.5,2128.5,73,-19,2128.25,98,2128.5,2
2016-10-28 08:25:00,08:25:05,08:25:52,20848,20993,2128.25,92,2128.5,6,2128.5,2128.5,2128.25,2128.5,44,4,2128.5,35,2128.75,75
2016-10-28 08:26:00,08:26:00,08:26:38,21019,21176,2128.5,26,2128.75,77,2128.5,2128.5,2128.25,2128.5,36,8,2128.5,2,2128.75,77
2016-10-28 08:27:00,08:27:08,08:27:50,21214,21330,2128.5,9,2128.75,72,2128.5,2128.5,2128.5,2128.5,20,-4,2128.5,38,2128.75,77
2016-10-28 08:28:00,08:28:04,08:28:13,21366,21413,2128.5,13,2128.75,71,2128.5,2128.5,2128.5,2128.5,6,-4,2128.25,80,2128.5,60
2016-10-28 08:29:00,08:29:03,08:29:54,21426,21590,2128.25,83,2128.5,70,2128.5,2128.5,2128.25,2128.25,104,-40,2128.25,33,2128.5,103
2016-10-28 08:30:00,08:30:03,08:30:55,21605,21752,2128.25,8,2128.5,103,2128.25,2128.5,2128.0,2128.0,23,-19,2128.0,93,2128.25,50
2016-10-28 08:31:00,08:31:07,08:31:15,21775,21802,2128.0,80,2128.25,62,2128.0,2128.0,2128.0,2128.0,10,-10,2128.0,65,2128.25,75
2016-10-28 08:32:00,08:32:09,08:32:59,21853,22014,2128.0,132,2128.25,74,2128.25,2128.25,2128.25,2128.25,143,103,2128.0,138,2128.25,10
2016-10-28 08:33:00,08:33:08,08:33:41,22019,22083,2128.0,138,2128.25,16,2128.25,2128.25,2128.25,2128.25,6,6,2128.0,134,2128.25,41
2016-10-28 08:34:00,08:34:16,08:34:56,22123,22271,2128.0,139,2128.25,56,2128.25,2128.5,2128.25,2128.25,91,49,2128.0,149,2128.5,114
2016-10-28 08:35:00,08:35:07,08:35:58,22297,22397,2128.25,23,2128.5,121,2128.25,2128.5,2128.25,2128.5,132,76,2128.5,55,2128.75,102
2016-10-28 08:36:00,08:36:06,08:36:57,22449,22552,2128.5,107,2128.75,76,2128.75,2128.75,2128.25,2128.5,102,-80,2128.25,65,2128.5,61
2016-10-28 08:37:00,08:37:10,08:37:10,22556,22556,2128.25,67,2128.5,66,2128.25,2128.25,2128.25,2128.25,2,-2,2128.25,65,2128.5,67
2016-10-28 08:38:00,08:38:09,08:38:50,22581,22629,2128.25,46,2128.5,104,2128.25,2128.5,2128.25,2128.25,45,33,2128.25,65,2128.5,60
2016-10-28 08:39:00,08:39:05,08:39:55,22647,22674,2128.25,68,2128.5,61,2128.25,2128.5,2128.25,2128.25,6,-2,2128.25,71,2128.5,63
2016-10-28 08:40:00,08:40:02,08:40:59,22686,22824,2128.25,73,2128.5,73,2128.25,2128.5,2128.0,2128.25,46,-14,2128.0,146,2128.25,73
2016-10-28 08:41:00,08:41:06,08:41:06,22861,22861,2128.0,128,2128.25,101,2128.0,2128.0,2128.0,2128.0,1,-1,2128.0,127,2128.25,99
2016-10-28 08:42:00,08:42:17,08:42:38,22972,23014,2128.0,188,2128.25,88,2128.25,2128.25,2128.25,2128.25,79,79,2128.0,188,2128.25,11
2016-10-28 08:43:00,08:43:17,08:43:59,23041,23138,2128.0,185,2128.25,46,2128.0,2128.25,2128.0,2128.25,17,7,2128.25,17,2128.5,109
2016-10-28 08:44:00,08:44:00,08:44:18,23148,23198,2128.25,9,2128.5,114,2128.25,2128.25,2128.25,2128.25,16,-2,2128.25,1,2128.5,118
2016-10-28 08:45:00,08:45:01,08:45:57,23292,23424,2128.25,60,2128.5,47,2128.5,2128.5,2128.25,2128.25,75,-27,2128.0,234,2128.25,130
2016-10-28 08:46:00,08:46:12,08:46:12,23429,23429,2128.0,236,2128.25,129,2128.25,2128.25,2128.25,2128.25,1,1,2128.0,239,2128.25,128
2016-10-28 08:47:00,08:47:00,08:47:58,23458,23559,2128.0,243,2128.25,147,2128.25,2128.25,2128.0,2128.25,139,133,2128.25,38,2128.5,114
2016-10-28 08:48:00,08:48:04,08:48:58,23576,23627,2128.25,54,2128.5,114,2128.25,2128.5,2128.25,2128.25,13,-11,2128.25,52,2128.5,104
2016-10-28 08:49:00,08:49:00,08:49:56,23629,23668,2128.25,52,2128.5,105,2128.25,2128.5,2128.25,2128.5,5,1,2128.25,77,2128.5,96
2016-10-28 08:50:00,08:50:05,08:50:55,23710,23837,2128.25,28,2128.5,113,2128.5,2128.5,2128.25,2128.25,80,16,2128.0,127,2128.25,14
2016-10-28 08:51:00,08:51:07,08:51:55,23861,23907,2128.0,128,2128.25,14,2128.0,2128.0,2128.0,2128.0,26,-26,2128.0,103,2128.25,54
2016-10-28 08:52:00,08:52:05,08:52:52,23945,24173,2128.0,76,2128.25,167,2128.0,2128.25,2127.75,2128.0,166,-32,2128.0,30,2128.25,182
2016-10-28 08:53:00,08:53:12,08:53:12,24226,24226,2128.0,51,2128.25,89,2128.25,2128.25,2128.25,2128.25,1,1,2128.0,50,2128.25,88
2016-10-28 08:54:00,08:54:05,08:54:58,24250,24272,2128.0,62,2128.25,88,2128.25,2128.25,2128.25,2128.25,4,4,2128.0,61,2128.25,89
2016-10-28 08:55:00,08:55:14,08:55:59,24305,24436,2128.0,80,2128.25,55,2128.25,2128.25,2128.25,2128.25,65,27,2128.0,92,2128.5,97
2016-10-28 08:56:00,08:56:01,08:56:59,24450,24576,2128.25,3,2128.5,97,2128.25,2128.25,2128.25,2128.25,30,2,2128.25,20,2128.5,143
2016-10-28 08:57:00,08:57:43,08:57:53,24643,24695,2128.25,23,2128.5,141,2128.25,2128.25,2128.0,2128.0,22,-16,2128.0,104,2128.25,59
2016-10-28 08:58:00,08:58:31,08:58:59,24709,25036,2128.0,105,2128.25,59,2128.0,2128.0,2127.75,2127.75,268,-186,2127.5,142,2128.0,112
2016-10-28 08:59:00,08:59:07,08:59:51,25060,25317,2127.75,19,2128.0,205,2127.75,2127.75,2127.5,2127.75,117,-7,2127.5,141,2127.75,2
2016-10-28 09:00:00,09:00:00,09:00:15,25359,25419,2127.5,144,2127.75,8,2127.75,2127.75,2127.75,2127.75,26,12,2127.75,20,2128.0,197
2016-10-28 09:01:00,09:01:15,09:01:58,25479,25601,2127.75,33,2128.0,201,2128.0,2128.0,2127.5,2127.5,58,-40,2127.5,105,2127.75,102
2016-10-28 09:02:00,09:02:00,09:02:43,25605,25660,2127.5,103,2127.75,101,2127.5,2127.75,2127.5,2127.5,7,-5,2127.5,97,2127.75,102
2016-10-28 09:03:00,09:03:12,09:03:42,25676,25698,2127.5,117,2127.75,105,2127.75,2127.75,2127.5,2127.5,5,-3,2127.5,117,2127.75,113
2016-10-28 09:04:00,09:04:12,09:04:54,25712,25756,2127.5,120,2127.75,91,2127.75,2127.75,2127.5,2127.5,15,-11,2127.5,109,2127.75,123
2016-10-28 09:05:00,09:05:06,09:05:59,25760,26029,2127.5,119,2127.75,123,2127.75,2127.75,2127.5,2127.5,231,1,2127.5,67,2127.75,125
2016-10-28 09:06:00,09:06:13,09:06:42,26045,26058,2127.5,45,2127.75,126,2127.5,2127.5,2127.5,2127.5,3,-3,2127.5,52,2127.75,126
2016-10-28 09:07:00,09:07:00,09:07:56,26081,26264,2127.5,122,2127.75,127,2127.75,2127.75,2127.25,2127.25,113,-43,2127.25,234,2127.75,137
2016-10-28 09:08:00,09:08:02,09:08:52,26301,26383,2127.25,224,2127.5,56,2127.25,2127.5,2127.25,2127.25,20,-12,2127.25,227,2127.5,92
2016-10-28 09:09:00,09:09:05,09:09:50,26418,26454,2127.25,216,2127.5,105,2127.5,2127.5,2127.25,2127.25,7,5,2127.25,193,2127.5,153
2016-10-28 09:10:00,09:10:02,09:10:51,26458,26494,2127.25,192,2127.5,153,2127.5,2127.5,2127.5,2127.5,12,12,2127.25,191,2127.5,149
2016-10-28 09:11:00,09:11:09,09:11:57,26542,26805,2127.25,187,2127.5,160,2127.25,2127.25,2127.25,2127.25,235,-235,2127.25,23,2127.5,167
2016-10-28 09:12:00,09:12:04,09:12:56,26807,26856,2127.25,23,2127.5,164,2127.25,2127.5,2127.25,2127.5,21,-19,2127.25,41,2127.5,160
