,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-12 08:00:00,08:00:00,08:00:59,58724,59557,2113.0,74,2113.25,134,2113.0,2113.25,2112.75,2113.0,452,-96,2113.0,32,2113.0,3
2016-09-12 08:01:00,08:01:01,08:01:58,59559,60208,2113.0,32,2113.25,164,2113.0,2113.25,2112.5,2113.0,268,-148,2112.75,78,2113.0,93
2016-09-12 08:02:00,08:02:01,08:02:58,60226,61197,2112.75,79,2113.0,73,2113.0,2113.5,2113.0,2113.25,420,100,2113.25,73,2113.5,202
2016-09-12 08:03:00,08:03:06,08:03:56,61260,62193,2113.25,89,2113.5,221,2113.5,2114.0,2113.5,2113.5,443,-37,2113.5,62,2113.75,26
2016-09-12 08:04:00,08:04:00,08:04:57,62248,62612,2113.5,79,2113.75,61,2113.75,2113.75,2113.25,2113.5,337,13,2113.5,51,2113.75,69
2016-09-12 08:05:00,08:05:02,08:05:59,62623,63114,2113.5,49,2113.75,69,2113.5,2113.75,2113.25,2113.5,272,-54,2113.25,193,2113.5,7
2016-09-12 08:06:00,08:06:01,08:06:55,63116,63396,2113.25,182,2113.5,7,2113.5,2113.75,2113.5,2113.5,44,6,2113.5,53,2113.75,102
2016-09-12 08:07:00,08:07:02,08:07:59,63421,63701,2113.5,55,2113.75,100,2113.75,2113.75,2113.25,2113.5,301,-185,2113.25,92,2113.5,80
2016-09-12 08:08:00,08:08:04,08:08:58,63708,64153,2113.25,88,2113.5,81,2113.5,2113.5,2112.5,2112.5,452,-310,2112.5,170,2112.75,126
2016-09-12 08:09:00,08:09:04,08:09:56,64166,64515,2112.5,175,2112.75,129,2112.75,2113.0,2112.5,2113.0,309,247,2112.75,28,2113.0,213
2016-09-12 08:10:00,08:10:02,08:10:59,64581,65056,2112.75,57,2113.0,154,2113.0,2113.0,2112.5,2112.75,149,1,2112.75,11,2113.0,264
2016-09-12 08:11:00,08:11:02,08:11:54,65072,65390,2112.75,9,2113.0,263,2112.75,2112.75,2112.5,2112.5,382,-340,2112.5,67,2112.75,118
2016-09-12 08:12:00,08:12:00,08:12:59,65404,65714,2112.5,79,2112.75,109,2112.5,2112.75,2112.5,2112.5,173,51,2112.5,100,2112.75,64
2016-09-12 08:13:00,08:13:04,08:13:44,65734,66115,2112.5,115,2112.75,67,2112.75,2113.0,2112.5,2112.75,150,46,2112.5,121,2112.75,41
2016-09-12 08:14:00,08:14:07,08:14:59,66144,66297,2112.5,113,2112.75,73,2112.75,2112.75,2112.5,2112.75,59,33,2112.5,116,2112.75,51
2016-09-12 08:15:00,08:15:01,08:15:53,66300,66641,2112.5,116,2112.75,51,2112.75,2112.75,2112.5,2112.75,77,69,2112.5,108,2112.75,16
2016-09-12 08:16:00,08:16:00,08:16:56,66675,67258,2112.5,107,2112.75,55,2112.75,2113.0,2112.5,2112.75,189,-13,2112.5,90,2112.75,8
2016-09-12 08:17:00,08:17:01,08:17:56,67270,67412,2112.5,91,2112.75,1,2112.75,2112.75,2112.5,2112.75,51,-13,2112.5,93,2112.75,43
2016-09-12 08:18:00,08:18:08,08:18:52,67422,67597,2112.5,94,2112.75,43,2112.75,2113.0,2112.75,2113.0,75,67,2112.75,60,2113.0,256
2016-09-12 08:19:00,08:19:03,08:19:44,67612,67823,2112.75,75,2113.0,249,2113.0,2113.0,2112.75,2112.75,72,-32,2112.5,94,2112.75,7
2016-09-12 08:20:00,08:20:00,08:20:55,67843,68175,2112.5,97,2112.75,7,2112.75,2113.0,2112.75,2112.75,86,-22,2112.5,96,2112.75,1
2016-09-12 08:21:00,08:21:00,08:21:59,68196,68551,2112.5,96,2112.75,4,2112.75,2113.0,2112.5,2112.75,106,4,2112.5,82,2112.75,17
2016-09-12 08:22:00,08:22:08,08:22:59,68568,69335,2112.5,82,2112.75,44,2112.5,2113.75,2112.5,2113.5,819,493,2113.5,57,2113.75,78
2016-09-12 08:23:00,08:23:01,08:23:59,69349,69965,2113.5,47,2113.75,83,2113.5,2114.0,2113.5,2114.0,260,74,2113.75,65,2114.0,98
2016-09-12 08:24:00,08:24:00,08:24:59,69967,70297,2113.75,67,2114.0,98,2113.75,2114.0,2113.5,2113.75,133,-15,2113.75,12,2114.0,132
2016-09-12 08:25:00,08:25:00,08:25:46,70302,70520,2113.75,13,2114.0,131,2113.75,2114.0,2113.75,2113.75,49,-21,2113.5,97,2113.75,30
2016-09-12 08:26:00,08:26:00,08:26:53,70558,70999,2113.5,96,2113.75,45,2113.75,2114.0,2113.75,2114.0,270,264,2113.75,114,2114.0,17
2016-09-12 08:27:00,08:27:00,08:27:57,71018,71325,2113.75,114,2114.0,31,2114.0,2114.0,2113.75,2114.0,154,142,2113.75,110,2114.0,23
2016-09-12 08:28:00,08:28:00,08:28:51,71337,71560,2113.75,110,2114.0,29,2114.0,2114.0,2113.75,2114.0,327,315,2113.75,99,2114.0,27
2016-09-12 08:29:00,08:29:04,08:29:57,71585,71813,2113.75,95,2114.0,41,2114.0,2114.0,2113.5,2113.75,141,-103,2113.5,113,2113.75,38
2016-09-12 08:30:00,08:30:03,08:30:59,71822,72178,2113.5,107,2113.75,31,2113.75,2114.0,2113.5,2114.0,121,-7,2113.75,33,2114.0,111
2016-09-12 08:31:00,08:31:00,08:31:54,72181,72338,2113.75,34,2114.0,109,2113.75,2114.0,2113.75,2114.0,24,-10,2113.75,57,2114.0,135
2016-09-12 08:32:00,08:32:11,08:32:58,72346,72535,2113.75,65,2114.0,136,2114.0,2114.0,2113.5,2113.75,176,-32,2113.5,276,2113.75,14
2016-09-12 08:33:00,08:33:01,08:33:56,72564,72865,2113.5,273,2113.75,72,2113.75,2113.75,2113.5,2113.75,170,10,2113.5,88,2113.75,56
2016-09-12 08:34:00,08:34:05,08:34:47,72875,73219,2113.5,88,2113.75,60,2113.75,2113.75,2113.25,2113.75,126,88,2113.5,131,2113.75,64
2016-09-12 08:35:00,08:35:00,08:35:54,73227,73641,2113.5,131,2113.75,73,2113.5,2114.0,2113.5,2113.75,246,38,2113.75,91,2114.0,76
2016-09-12 08:36:00,08:36:00,08:36:59,73674,73888,2113.75,64,2114.0,108,2113.75,2114.0,2113.75,2114.0,11,1,2113.75,35,2114.0,163
2016-09-12 08:37:00,08:37:00,08:37:55,73894,74191,2113.75,37,2114.0,164,2113.75,2114.0,2113.75,2114.0,181,171,2113.75,126,2114.0,18
2016-09-12 08:38:00,08:38:03,08:38:54,74218,74518,2113.75,81,2114.0,40,2114.0,2114.0,2113.5,2113.75,103,-9,2113.5,123,2113.75,3
2016-09-12 08:39:00,08:39:02,08:39:59,74561,75033,2113.5,124,2113.75,36,2113.75,2114.0,2113.75,2114.0,126,-32,2113.75,1,2114.0,141
2016-09-12 08:40:00,08:40:00,08:40:58,75081,75411,2113.75,15,2114.0,139,2113.75,2114.0,2113.75,2114.0,153,-3,2113.75,64,2114.0,102
2016-09-12 08:41:00,08:41:00,08:41:54,75418,75532,2113.75,64,2114.0,102,2114.0,2114.0,2114.0,2114.0,29,29,2113.75,81,2114.0,118
2016-09-12 08:42:00,08:42:03,08:42:56,75539,75933,2113.75,93,2114.0,117,2114.0,2114.0,2113.75,2113.75,396,88,2113.5,121,2113.75,2
2016-09-12 08:43:00,08:43:10,08:43:40,75962,76032,2113.5,119,2113.75,49,2113.5,2113.75,2113.5,2113.75,44,-34,2113.5,103,2113.75,85
2016-09-12 08:44:00,08:44:08,08:44:58,76041,76254,2113.5,103,2113.75,96,2113.75,2113.75,2113.25,2113.5,101,-47,2113.25,73,2113.5,100
2016-09-12 08:45:00,08:45:00,08:45:48,76264,76695,2113.25,88,2113.5,77,2113.25,2113.5,2113.0,2113.25,134,4,2113.0,168,2113.25,47
2016-09-12 08:46:00,08:46:01,08:46:57,76722,76981,2113.0,169,2113.25,82,2113.25,2113.5,2113.0,2113.25,174,-2,2113.0,143,2113.25,72
2016-09-12 08:47:00,08:47:00,08:47:59,76992,77159,2113.0,147,2113.25,66,2113.25,2113.25,2113.0,2113.25,49,-23,2113.0,129,2113.25,143
2016-09-12 08:48:00,08:48:00,08:48:56,77162,77327,2113.0,129,2113.25,143,2113.25,2113.25,2113.0,2113.0,60,-6,2113.0,112,2113.25,159
2016-09-12 08:49:00,08:49:03,08:49:55,77329,77905,2113.0,112,2113.25,158,2113.0,2113.5,2113.0,2113.0,434,-216,2113.0,131,2113.25,95
2016-09-12 08:50:00,08:50:01,08:50:58,77939,78428,2113.0,43,2113.25,134,2113.25,2113.25,2112.75,2113.0,351,-35,2112.75,104,2113.0,70
2016-09-12 08:51:00,08:51:00,08:51:50,78433,78797,2112.75,104,2113.0,64,2113.0,2113.25,2112.75,2112.75,118,-10,2112.75,115,2113.0,30
2016-09-12 08:52:00,08:52:11,08:52:59,78847,79259,2112.75,50,2113.0,71,2113.0,2113.0,2112.5,2112.5,199,-153,2112.5,44,2112.75,75
2016-09-12 08:53:00,08:53:02,08:53:59,79283,79566,2112.5,18,2112.75,97,2112.5,2112.75,2112.5,2112.75,65,7,2112.5,77,2112.75,4
2016-09-12 08:54:00,08:54:00,08:54:58,79583,79880,2112.5,69,2112.75,28,2112.75,2112.75,2112.5,2112.75,124,4,2112.5,76,2112.75,21
2016-09-12 08:55:00,08:55:10,08:55:58,79938,80387,2112.5,76,2112.75,52,2112.75,2113.0,2112.5,2112.5,541,55,2112.25,174,2112.5,20
2016-09-12 08:56:00,08:56:00,08:56:59,80391,80737,2112.25,174,2112.5,14,2112.5,2112.75,2112.25,2112.5,87,41,2112.5,32,2112.5,21
2016-09-12 08:57:00,08:57:02,08:57:56,80740,80993,2112.25,231,2112.5,18,2112.5,2112.5,2112.25,2112.5,85,-5,2112.25,125,2112.5,53
2016-09-12 08:58:00,08:58:00,08:58:59,81032,81285,2112.25,116,2112.5,103,2112.5,2112.5,2112.25,2112.5,218,-148,2112.25,67,2112.5,96
