,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-10-25 08:00:00,08:00:00,08:00:54,8352,8837,2144.5,79,2144.75,92,2144.75,2145.0,2144.5,2145.0,330,-80,2145.0,67,2145.25,57
2016-10-25 08:01:00,08:01:00,08:01:56,8862,9149,2145.0,75,2145.25,69,2145.25,2145.5,2145.25,2145.25,63,23,2145.25,91,2145.5,73
2016-10-25 08:02:00,08:02:00,08:02:46,9166,9234,2145.25,91,2145.5,68,2145.25,2145.5,2145.25,2145.25,13,-9,2145.25,56,2145.5,93
2016-10-25 08:03:00,08:03:00,08:03:55,9240,9330,2145.25,56,2145.5,94,2145.5,2145.5,2145.25,2145.5,34,18,2145.25,71,2145.5,59
2016-10-25 08:04:00,08:04:00,08:04:36,9333,9504,2145.25,71,2145.5,59,2145.5,2145.5,2145.0,2145.0,76,-40,2145.0,72,2145.25,41
2016-10-25 08:05:00,08:05:04,08:05:55,9553,10045,2145.0,88,2145.25,54,2145.25,2145.75,2145.25,2145.5,243,119,2145.5,41,2145.75,108
2016-10-25 08:06:00,08:06:01,08:06:56,10089,10304,2145.5,48,2145.75,121,2145.75,2145.75,2145.5,2145.5,21,5,2145.5,42,2145.75,137
2016-10-25 08:07:00,08:07:02,08:07:55,10311,10558,2145.5,42,2145.75,137,2145.75,2145.75,2145.5,2145.5,65,-27,2145.5,51,2145.75,114
2016-10-25 08:08:00,08:08:00,08:08:49,10622,11058,2145.5,73,2145.75,81,2145.75,2146.0,2145.75,2146.0,125,71,2145.75,51,2146.0,220
2016-10-25 08:09:00,08:09:00,08:09:59,11071,11233,2145.75,53,2146.0,220,2145.75,2146.0,2145.75,2145.75,75,-61,2145.5,104,2145.75,63
2016-10-25 08:10:00,08:10:00,08:10:32,11241,11262,2145.5,104,2145.75,55,2145.5,2145.75,2145.5,2145.75,5,1,2145.5,103,2145.75,91
2016-10-25 08:11:00,08:11:01,08:11:59,11294,11337,2145.5,136,2145.75,93,2145.75,2145.75,2145.5,2145.5,8,4,2145.5,105,2145.75,104
2016-10-25 08:12:00,08:12:00,08:12:46,11342,11442,2145.5,105,2145.75,112,2145.75,2145.75,2145.5,2145.75,43,39,2145.5,117,2145.75,63
2016-10-25 08:13:00,08:13:00,08:13:51,11449,11501,2145.5,120,2145.75,62,2145.75,2145.75,2145.5,2145.75,12,6,2145.5,109,2145.75,72
2016-10-25 08:14:00,08:14:00,08:14:59,11511,11595,2145.5,109,2145.75,76,2145.75,2145.75,2145.5,2145.75,20,10,2145.5,117,2145.75,48
2016-10-25 08:15:00,08:15:00,08:15:59,11603,11816,2145.5,116,2145.75,72,2145.75,2145.75,2145.5,2145.75,140,68,2145.5,117,2145.75,33
2016-10-25 08:16:00,08:16:01,08:16:47,11826,11930,2145.5,116,2145.75,30,2145.75,2145.75,2145.75,2145.75,46,20,2145.5,115,2145.75,36
2016-10-25 08:17:00,08:17:08,08:17:59,11940,11974,2145.5,116,2145.75,38,2145.75,2145.75,2145.75,2145.75,9,9,2145.5,111,2145.75,44
2016-10-25 08:18:00,08:18:14,08:18:58,11989,12031,2145.5,112,2145.75,64,2145.75,2145.75,2145.5,2145.75,6,4,2145.5,112,2145.75,59
2016-10-25 08:19:00,08:19:07,08:19:53,12035,12077,2145.5,112,2145.75,56,2145.75,2145.75,2145.75,2145.75,7,7,2145.5,112,2145.75,45
2016-10-25 08:20:00,08:20:00,08:20:56,12084,12185,2145.5,111,2145.75,54,2145.75,2145.75,2145.5,2145.75,7,5,2145.5,115,2145.75,70
2016-10-25 08:21:00,08:21:00,08:21:37,12187,12201,2145.5,118,2145.75,70,2145.75,2145.75,2145.75,2145.75,4,4,2145.5,116,2145.75,67
2016-10-25 08:22:00,08:22:01,08:22:53,12223,12572,2145.5,114,2145.75,83,2145.75,2145.75,2145.0,2145.5,203,-107,2145.25,63,2145.5,97
2016-10-25 08:23:00,08:23:17,08:23:40,12657,12716,2145.25,78,2145.5,103,2145.5,2145.5,2145.25,2145.25,7,3,2145.25,90,2145.5,73
2016-10-25 08:24:00,08:24:45,08:24:55,12815,12833,2145.25,87,2145.5,84,2145.25,2145.5,2145.25,2145.5,5,-3,2145.25,68,2145.5,102
2016-10-25 08:25:00,08:25:27,08:25:43,12864,12976,2145.25,76,2145.5,108,2145.25,2145.25,2145.25,2145.25,104,-34,2145.25,26,2145.5,107
2016-10-25 08:26:00,08:26:46,08:26:46,13025,13025,2145.25,68,2145.5,96,2145.25,2145.25,2145.25,2145.25,1,-1,2145.25,67,2145.5,95
2016-10-25 08:27:00,08:27:28,08:27:34,13043,13053,2145.25,69,2145.5,98,2145.25,2145.5,2145.25,2145.5,2,0,2145.25,76,2145.5,86
2016-10-25 08:28:00,08:28:52,08:28:57,13099,13163,2145.25,72,2145.5,99,2145.25,2145.25,2145.25,2145.25,38,-36,2145.0,97,2145.25,22
2016-10-25 08:29:00,08:29:04,08:29:31,13175,13264,2145.0,97,2145.25,16,2145.25,2145.25,2145.25,2145.25,12,8,2145.25,71,2145.5,99
2016-10-25 08:30:00,08:30:16,08:30:50,13281,13462,2145.25,68,2145.5,96,2145.25,2145.5,2145.25,2145.5,100,48,2145.5,2,2145.75,111
2016-10-25 08:31:00,08:31:15,08:31:33,13498,13516,2145.5,78,2145.75,115,2145.5,2145.75,2145.5,2145.75,23,17,2145.5,88,2145.75,82
2016-10-25 08:32:00,08:32:00,08:32:13,13555,13579,2145.5,93,2145.75,60,2145.75,2145.75,2145.75,2145.75,32,32,2145.5,71,2145.75,45
2016-10-25 08:33:00,08:33:01,08:33:52,13706,13854,2145.5,28,2145.75,92,2145.5,2145.5,2145.25,2145.5,38,-20,2145.25,72,2145.5,43
2016-10-25 08:34:00,08:34:04,08:34:38,13866,13882,2145.25,69,2145.5,59,2145.5,2145.5,2145.5,2145.5,2,2,2145.25,70,2145.5,53
2016-10-25 08:35:00,08:35:01,08:35:55,13891,14061,2145.25,70,2145.5,52,2145.25,2145.5,2145.25,2145.5,86,58,2145.5,33,2145.75,114
2016-10-25 08:36:00,08:36:17,08:36:42,14121,14222,2145.5,78,2145.75,78,2145.75,2146.0,2145.75,2145.75,29,23,2145.75,23,2146.0,226
2016-10-25 08:37:00,08:37:00,08:37:58,14242,14361,2145.75,39,2146.0,236,2145.75,2146.0,2145.5,2145.5,49,-43,2145.5,65,2145.75,23
2016-10-25 08:38:00,08:38:18,08:38:57,14385,14517,2145.5,72,2145.75,41,2145.75,2146.0,2145.75,2145.75,52,2,2145.5,83,2145.75,1
2016-10-25 08:39:00,08:39:06,08:39:51,14543,14629,2145.5,79,2145.75,2,2145.75,2145.75,2145.5,2145.5,11,-7,2145.5,89,2145.75,29
2016-10-25 08:40:00,08:40:00,08:40:00,0,0,0.0,0,0.0,0,2145.5,2145.5,2145.5,2145.5,0,0,0.0,0,0.0,0
2016-10-25 08:41:00,08:41:29,08:41:42,14678,14744,2145.5,91,2145.75,34,2145.75,2146.0,2145.75,2146.0,40,34,2145.75,25,2146.0,209
2016-10-25 08:42:00,08:42:05,08:42:47,14763,14788,2145.75,27,2146.0,206,2145.75,2145.75,2145.75,2145.75,5,-5,2145.75,17,2146.0,205
2016-10-25 08:43:00,08:43:14,08:43:43,14796,14847,2145.75,21,2146.0,206,2146.0,2146.0,2145.75,2145.75,28,-14,2145.75,44,2146.0,211
2016-10-25 08:44:00,08:44:19,08:44:59,14921,14982,2145.75,52,2146.0,195,2145.75,2146.0,2145.75,2146.0,30,-26,2145.75,47,2146.0,232
2016-10-25 08:45:00,08:45:14,08:45:54,15020,15048,2145.75,57,2146.0,233,2146.0,2146.0,2145.75,2145.75,4,0,2145.75,49,2146.0,209
2016-10-25 08:46:00,08:46:04,08:46:11,15063,15135,2145.75,33,2146.0,217,2145.75,2145.75,2145.75,2145.75,35,-35,2145.5,99,2145.75,2
2016-10-25 08:47:00,08:47:24,08:47:58,15282,15398,2145.5,75,2145.75,57,2145.75,2145.75,2145.5,2145.5,52,-48,2145.5,9,2145.75,89
2016-10-25 08:48:00,08:48:00,08:48:56,15415,15508,2145.5,27,2145.75,82,2145.5,2145.75,2145.5,2145.75,10,4,2145.5,46,2145.75,73
2016-10-25 08:49:00,08:49:25,08:49:25,15528,15531,2145.5,43,2145.75,86,2145.75,2145.75,2145.75,2145.75,8,8,2145.5,44,2145.75,83
2016-10-25 08:50:00,08:50:32,08:50:32,15566,15566,2145.5,50,2145.75,80,2145.75,2145.75,2145.75,2145.75,5,5,2145.5,49,2145.75,75
