,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-11-23 08:00:00,08:00:00,08:00:57,47565,47937,2199.75,141,2200.0,69,2199.75,2200.5,2199.75,2200.0,299,29,2200.0,62,2200.25,20
2016-11-23 08:01:00,08:01:09,08:01:58,47947,48163,2200.0,64,2200.25,24,2200.25,2200.25,2200.0,2200.0,61,-11,2200.0,53,2200.25,29
2016-11-23 08:02:00,08:02:02,08:02:48,48174,48225,2200.0,56,2200.25,28,2200.0,2200.25,2200.0,2200.0,19,-17,2200.0,41,2200.25,36
2016-11-23 08:03:00,08:03:00,08:03:35,48253,48388,2200.0,44,2200.25,36,2200.0,2200.25,2200.0,2200.0,45,-37,2199.75,107,2200.0,19
2016-11-23 08:04:00,08:04:00,08:04:59,48405,48604,2199.75,106,2200.0,20,2199.75,2200.0,2199.75,2199.75,60,-2,2199.75,44,2200.0,114
2016-11-23 08:05:00,08:05:05,08:05:57,48616,48676,2199.75,48,2200.0,108,2200.0,2200.0,2199.75,2200.0,36,-16,2199.75,32,2200.0,103
2016-11-23 08:06:00,08:06:00,08:06:59,48684,48807,2199.75,53,2200.0,103,2199.75,2200.0,2199.75,2200.0,41,13,2199.75,59,2200.0,42
2016-11-23 08:07:00,08:07:10,08:07:42,48825,48870,2199.75,59,2200.0,36,2200.0,2200.0,2199.75,2199.75,4,-2,2199.75,59,2200.0,53
2016-11-23 08:08:00,08:08:00,08:08:54,48881,48942,2199.75,53,2200.0,64,2199.75,2200.0,2199.75,2200.0,10,2,2199.75,59,2200.0,53
2016-11-23 08:09:00,08:09:00,08:09:50,48955,49152,2199.75,60,2200.0,49,2200.0,2200.25,2199.75,2200.0,79,69,2200.0,61,2200.25,36
2016-11-23 08:10:00,08:10:04,08:10:52,49162,49333,2200.0,61,2200.25,51,2200.0,2200.25,2200.0,2200.25,135,31,2200.0,66,2200.25,2
2016-11-23 08:11:00,08:11:02,08:11:50,49347,49500,2200.0,65,2200.25,10,2200.25,2200.5,2200.25,2200.5,30,26,2200.25,100,2200.5,45
2016-11-23 08:12:00,08:12:02,08:12:59,49513,49621,2200.25,101,2200.5,38,2200.25,2200.5,2200.25,2200.25,45,9,2200.25,90,2200.5,27
2016-11-23 08:13:00,08:13:04,08:13:57,49625,49698,2200.25,90,2200.5,26,2200.5,2200.5,2200.25,2200.25,40,12,2200.25,80,2200.5,22
2016-11-23 08:14:00,08:14:00,08:14:58,49703,49774,2200.25,80,2200.5,26,2200.5,2200.5,2200.25,2200.25,12,2,2200.25,82,2200.5,40
2016-11-23 08:15:00,08:15:04,08:15:43,49800,49904,2200.25,79,2200.5,44,2200.25,2200.5,2200.25,2200.25,26,-4,2200.25,71,2200.5,71
2016-11-23 08:16:00,08:16:02,08:16:58,49928,50056,2200.25,99,2200.5,59,2200.5,2200.5,2200.25,2200.5,77,63,2200.25,105,2200.5,19
2016-11-23 08:17:00,08:17:00,08:17:59,50059,50218,2200.25,105,2200.5,19,2200.5,2200.5,2200.25,2200.5,99,93,2200.25,111,2200.5,7
2016-11-23 08:18:00,08:18:04,08:18:58,50228,50386,2200.25,111,2200.5,13,2200.5,2200.75,2200.25,2200.75,81,79,2200.5,49,2200.75,115
2016-11-23 08:19:00,08:19:02,08:19:35,50393,50438,2200.5,48,2200.75,114,2200.75,2200.75,2200.5,2200.5,22,4,2200.5,40,2200.75,101
2016-11-23 08:20:00,08:20:00,08:20:41,50447,50512,2200.5,49,2200.75,99,2200.75,2200.75,2200.5,2200.5,28,16,2200.5,78,2200.75,68
2016-11-23 08:21:00,08:21:05,08:21:38,50521,50552,2200.5,78,2200.75,55,2200.5,2200.75,2200.5,2200.75,10,0,2200.5,81,2200.75,59
