,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-10-31 08:00:00,08:00:00,08:00:55,28498,28906,2120.25,29,2120.5,35,2120.25,2120.25,2119.75,2119.75,224,40,2119.5,32,2119.75,21
2016-10-31 08:01:00,08:01:03,08:01:59,28952,29322,2119.5,30,2119.75,40,2119.75,2119.75,2119.25,2119.75,157,-27,2119.5,26,2119.75,41
2016-10-31 08:02:00,08:02:00,08:02:47,29328,29666,2119.5,27,2119.75,38,2119.5,2119.75,2119.25,2119.75,199,1,2119.5,52,2119.75,13
2016-10-31 08:03:00,08:03:00,08:03:49,29691,29991,2119.5,56,2119.75,15,2119.75,2120.0,2119.5,2119.75,182,16,2119.75,46,2120.0,35
2016-10-31 08:04:00,08:04:01,08:04:58,30050,30231,2119.75,31,2120.0,66,2120.0,2120.0,2119.75,2120.0,99,87,2119.75,49,2120.0,22
2016-10-31 08:05:00,08:05:00,08:05:44,30259,30450,2119.75,38,2120.0,28,2120.0,2120.25,2119.75,2120.25,36,22,2120.0,23,2120.25,60
2016-10-31 08:06:00,08:06:01,08:06:59,30462,30915,2120.0,26,2120.25,62,2120.25,2120.25,2119.75,2120.25,221,41,2120.0,72,2120.25,11
2016-10-31 08:07:00,08:07:01,08:07:51,30922,31735,2120.0,94,2120.25,23,2120.25,2120.75,2119.5,2120.0,542,-158,2120.0,1,2120.25,79
2016-10-31 08:08:00,08:08:01,08:08:59,31830,32385,2120.0,72,2120.25,41,2120.25,2120.25,2120.0,2120.0,158,44,2120.0,10,2120.25,103
2016-10-31 08:09:00,08:09:06,08:09:58,32394,32985,2120.0,21,2120.25,107,2120.0,2120.0,2119.25,2119.5,363,-91,2119.25,72,2119.5,38
2016-10-31 08:10:00,08:10:02,08:10:59,33020,33676,2119.25,64,2119.5,73,2119.25,2119.5,2119.0,2119.25,271,-57,2119.0,88,2119.25,58
2016-10-31 08:11:00,08:11:02,08:11:57,33685,34338,2119.0,95,2119.25,68,2119.0,2119.75,2119.0,2119.75,190,62,2119.5,12,2119.75,56
2016-10-31 08:12:00,08:12:02,08:12:58,34377,34771,2119.5,36,2119.75,79,2119.75,2119.75,2119.25,2119.5,105,49,2119.25,67,2119.5,5
2016-10-31 08:13:00,08:13:00,08:13:58,34779,35245,2119.25,73,2119.5,9,2119.5,2119.75,2119.25,2119.5,153,-13,2119.25,77,2119.5,63
2016-10-31 08:14:00,08:14:00,08:14:59,35262,36100,2119.25,74,2119.5,68,2119.5,2119.5,2119.25,2119.25,308,-46,2119.25,67,2119.5,49
2016-10-31 08:15:00,08:15:01,08:15:52,36113,36590,2119.25,71,2119.5,59,2119.5,2119.75,2119.25,2119.75,149,41,2119.5,26,2119.75,77
2016-10-31 08:16:00,08:16:03,08:16:55,36653,36869,2119.5,42,2119.75,68,2119.75,2120.0,2119.5,2120.0,58,36,2119.75,36,2120.0,86
2016-10-31 08:17:00,08:17:00,08:17:59,36884,37175,2119.75,42,2120.0,85,2120.0,2120.0,2119.75,2119.75,62,20,2119.75,39,2120.0,72
2016-10-31 08:18:00,08:18:00,08:18:54,37178,37341,2119.75,41,2120.0,73,2120.0,2120.0,2119.75,2120.0,20,6,2119.75,51,2120.0,121
2016-10-31 08:19:00,08:19:00,08:19:52,37350,37419,2119.75,49,2120.0,122,2120.0,2120.0,2119.75,2120.0,22,20,2119.75,81,2120.0,96
2016-10-31 08:20:00,08:20:00,08:20:59,37423,37548,2119.75,81,2120.0,97,2120.0,2120.0,2119.75,2119.75,34,6,2119.75,60,2120.0,119
2016-10-31 08:21:00,08:21:00,08:21:53,37551,38043,2119.75,60,2120.0,119,2120.0,2120.5,2120.0,2120.5,243,77,2120.25,98,2120.5,33
2016-10-31 08:22:00,08:22:00,08:22:50,38098,38351,2120.25,43,2120.5,89,2120.25,2120.25,2120.0,2120.0,62,-42,2120.0,26,2120.25,65
2016-10-31 08:23:00,08:23:09,08:23:53,38436,38505,2120.0,43,2120.25,54,2120.25,2120.25,2120.0,2120.25,18,4,2120.0,52,2120.25,54
2016-10-31 08:24:00,08:24:02,08:24:54,38515,38682,2120.0,59,2120.25,49,2120.25,2120.25,2120.25,2120.25,57,45,2120.0,80,2120.25,6
2016-10-31 08:25:00,08:25:00,08:25:52,38686,38845,2120.0,82,2120.25,6,2120.25,2120.25,2120.0,2120.25,45,15,2120.0,66,2120.25,41
2016-10-31 08:26:00,08:26:12,08:26:59,38864,38985,2120.0,69,2120.25,38,2120.25,2120.25,2120.0,2120.25,35,-7,2120.0,28,2120.25,63
2016-10-31 08:27:00,08:27:05,08:27:48,38990,39019,2120.0,28,2120.25,66,2120.25,2120.25,2120.0,2120.25,5,3,2120.0,44,2120.25,66
2016-10-31 08:28:00,08:28:09,08:28:55,39039,39103,2120.0,52,2120.25,72,2120.0,2120.25,2120.0,2120.25,17,7,2120.0,90,2120.25,11
2016-10-31 08:29:00,08:29:02,08:29:57,39107,39419,2120.0,90,2120.25,14,2120.25,2120.25,2120.25,2120.25,57,23,2120.25,1,2120.5,97
2016-10-31 08:30:00,08:30:02,08:30:48,39453,39568,2120.25,17,2120.5,103,2120.5,2120.5,2120.25,2120.25,66,54,2120.25,58,2120.5,40
2016-10-31 08:31:00,08:31:10,08:31:53,39584,39837,2120.25,67,2120.5,37,2120.25,2120.75,2120.25,2120.75,133,87,2120.5,67,2120.75,27
2016-10-31 08:32:00,08:32:00,08:32:55,39851,40062,2120.5,67,2120.75,25,2120.5,2121.0,2120.5,2121.0,77,43,2120.75,50,2121.0,70
2016-10-31 08:33:00,08:33:03,08:33:54,40080,40209,2120.75,51,2121.0,82,2121.0,2121.0,2120.75,2120.75,42,20,2120.75,18,2121.0,82
2016-10-31 08:34:00,08:34:00,08:34:58,40222,40410,2120.75,19,2121.0,82,2121.0,2121.0,2120.5,2120.5,60,-38,2120.5,1,2120.75,83
2016-10-31 08:35:00,08:35:00,08:35:54,40442,40550,2120.5,30,2120.75,81,2120.5,2120.75,2120.5,2120.75,24,-2,2120.5,54,2120.75,61
2016-10-31 08:36:00,08:36:15,08:36:54,40592,40701,2120.5,30,2120.75,88,2120.75,2120.75,2120.5,2120.5,46,32,2120.5,55,2120.75,37
2016-10-31 08:37:00,08:37:29,08:37:57,40724,40824,2120.5,62,2120.75,54,2120.75,2120.75,2120.25,2120.25,60,-58,2120.25,54,2120.5,30
2016-10-31 08:38:00,08:38:02,08:38:58,40838,40997,2120.25,53,2120.5,39,2120.25,2120.25,2120.0,2120.25,64,-54,2120.0,95,2120.25,47
2016-10-31 08:39:00,08:39:06,08:39:59,41003,41109,2120.0,97,2120.25,43,2120.25,2120.25,2120.0,2120.0,18,6,2120.0,84,2120.25,74
2016-10-31 08:40:00,08:40:30,08:40:47,41124,41138,2120.0,86,2120.25,79,2120.0,2120.25,2120.0,2120.25,4,-2,2120.0,77,2120.25,81
2016-10-31 08:41:00,08:41:14,08:41:54,41150,41202,2120.0,86,2120.25,80,2120.25,2120.25,2120.0,2120.25,19,17,2120.0,92,2120.25,67
2016-10-31 08:42:00,08:42:04,08:42:58,41214,41241,2120.0,96,2120.25,70,2120.25,2120.25,2120.0,2120.0,8,6,2120.0,92,2120.25,68
2016-10-31 08:43:00,08:43:08,08:43:50,41277,41307,2120.0,92,2120.25,83,2120.25,2120.25,2120.0,2120.25,9,-3,2120.0,104,2120.25,89
2016-10-31 08:44:00,08:44:05,08:44:59,41317,41386,2120.0,106,2120.25,82,2120.0,2120.25,2120.0,2120.25,43,-9,2120.0,94,2120.25,83
2016-10-31 08:45:00,08:45:03,08:45:58,41393,41774,2120.0,99,2120.25,79,2120.25,2120.25,2119.75,2119.75,178,-120,2119.5,172,2120.0,99
2016-10-31 08:46:00,08:46:00,08:46:45,41788,41990,2119.5,177,2119.75,2,2119.75,2120.0,2119.5,2120.0,48,40,2119.75,60,2120.0,74
2016-10-31 08:47:00,08:47:00,08:47:59,42046,42360,2119.75,37,2120.0,88,2119.75,2119.75,2119.5,2119.75,94,-50,2119.5,171,2119.75,4
2016-10-31 08:48:00,08:48:06,08:48:57,42367,42480,2119.5,171,2119.75,4,2119.75,2120.0,2119.75,2119.75,15,9,2119.75,39,2120.0,81
2016-10-31 08:49:00,08:49:25,08:49:57,42509,42579,2119.75,15,2120.0,99,2119.75,2119.75,2119.75,2119.75,20,-10,2119.5,173,2119.75,37
