,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-23 08:00:00,08:00:00,08:00:58,21701,22718,2086.0,58,2086.25,46,2086.25,2086.5,2085.25,2086.0,304,30,2085.75,34,2086.0,43
2016-06-23 08:01:00,08:01:00,08:01:47,22723,23125,2085.75,33,2086.0,44,2086.0,2086.0,2085.25,2085.25,104,-42,2085.25,54,2085.5,59
2016-06-23 08:02:00,08:02:04,08:02:54,23157,23506,2085.25,54,2085.5,65,2085.25,2085.75,2085.0,2085.75,230,-4,2085.5,24,2085.75,55
2016-06-23 08:03:00,08:03:00,08:03:44,23531,23864,2085.5,69,2085.75,58,2085.5,2086.0,2085.5,2086.0,116,32,2086.0,43,2086.25,62
2016-06-23 08:04:00,08:04:12,08:04:58,23940,24060,2086.0,86,2086.25,57,2086.25,2086.25,2086.0,2086.0,34,-10,2086.0,60,2086.25,57
2016-06-23 08:05:00,08:05:00,08:05:57,24062,24514,2086.0,60,2086.25,64,2086.25,2086.5,2086.0,2086.5,128,50,2086.25,51,2086.5,60
2016-06-23 08:06:00,08:06:06,08:06:53,24544,24912,2086.25,52,2086.5,62,2086.5,2087.25,2086.5,2087.0,427,375,2087.0,78,2087.25,73
2016-06-23 08:07:00,08:07:02,08:07:51,24926,25204,2087.0,98,2087.25,65,2087.25,2087.5,2087.0,2087.0,166,62,2087.0,69,2087.25,35
2016-06-23 08:08:00,08:08:00,08:08:57,25229,25326,2087.0,69,2087.25,49,2087.0,2087.25,2087.0,2087.0,18,-14,2087.0,61,2087.25,56
2016-06-23 08:09:00,08:09:01,08:09:57,25335,25790,2087.0,63,2087.25,72,2087.0,2087.25,2086.75,2087.25,278,156,2087.25,15,2087.5,78
2016-06-23 08:10:00,08:10:00,08:10:49,25837,26335,2087.25,44,2087.5,77,2087.5,2087.5,2087.25,2087.25,403,269,2087.0,48,2087.25,37
2016-06-23 08:11:00,08:11:07,08:11:52,26367,26586,2087.0,61,2087.25,7,2087.25,2087.5,2087.0,2087.25,42,-10,2087.0,43,2087.25,24
2016-06-23 08:12:00,08:12:00,08:12:52,26620,26820,2087.0,41,2087.25,37,2087.25,2087.75,2087.25,2087.5,97,73,2087.5,44,2087.75,78
2016-06-23 08:13:00,08:13:00,08:13:57,26847,27220,2087.5,52,2087.75,84,2087.5,2087.5,2087.25,2087.5,203,45,2087.5,2,2087.75,99
2016-06-23 08:14:00,08:14:09,08:14:56,27241,27489,2087.25,48,2087.5,21,2087.5,2087.5,2087.25,2087.25,108,-22,2087.25,40,2087.5,48
2016-06-23 08:15:00,08:15:00,08:15:59,27498,27837,2087.25,34,2087.5,49,2087.5,2088.25,2087.5,2088.25,475,331,2088.25,42,2088.5,79
2016-06-23 08:16:00,08:16:00,08:16:58,27844,28254,2088.25,50,2088.5,79,2088.25,2088.75,2088.25,2088.5,238,-10,2088.25,57,2088.5,34
2016-06-23 08:17:00,08:17:00,08:17:59,28261,28451,2088.25,58,2088.5,29,2088.25,2088.5,2088.25,2088.25,48,-32,2088.25,17,2088.5,77
2016-06-23 08:18:00,08:18:00,08:18:59,28457,28718,2088.25,21,2088.5,79,2088.25,2088.25,2088.0,2088.25,113,-7,2088.25,4,2088.5,72
2016-06-23 08:19:00,08:19:02,08:19:55,28775,28880,2088.25,13,2088.5,69,2088.25,2088.25,2088.0,2088.0,33,-29,2088.0,58,2088.25,52
