,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-02 08:00:00,08:00:00,08:00:59,7338,7902,2167.25,67,2167.5,54,2167.25,2167.5,2167.25,2167.25,288,-66,2167.25,41,2167.5,112
2016-09-02 08:01:00,08:01:00,08:01:55,7907,8178,2167.25,41,2167.5,115,2167.25,2167.25,2167.0,2167.25,116,24,2167.25,100,2167.5,113
2016-09-02 08:02:00,08:02:12,08:02:55,8234,8396,2167.25,121,2167.5,121,2167.25,2167.25,2167.0,2167.25,112,-106,2167.0,97,2167.25,81
2016-09-02 08:03:00,08:03:00,08:03:55,8402,8486,2167.0,101,2167.25,76,2167.25,2167.25,2167.0,2167.25,16,-2,2167.0,83,2167.25,87
2016-09-02 08:04:00,08:04:00,08:04:58,8495,8728,2167.0,84,2167.25,91,2167.0,2167.0,2167.0,2167.0,269,-269,2167.0,46,2167.25,107
2016-09-02 08:05:00,08:05:00,08:05:53,8733,8817,2167.0,48,2167.25,107,2167.0,2167.25,2167.0,2167.25,21,-15,2167.0,49,2167.25,102
2016-09-02 08:06:00,08:06:03,08:06:50,8830,8911,2167.0,49,2167.25,104,2167.0,2167.25,2167.0,2167.0,16,-14,2167.0,42,2167.25,102
2016-09-02 08:07:00,08:07:02,08:07:58,8914,9004,2167.0,43,2167.25,103,2167.0,2167.0,2167.0,2167.0,22,-22,2167.0,33,2167.25,107
2016-09-02 08:08:00,08:08:00,08:08:55,9011,9163,2167.0,28,2167.25,107,2167.0,2167.25,2167.0,2167.25,112,-110,2167.0,15,2167.25,130
2016-09-02 08:09:00,08:09:00,08:09:54,9173,9354,2167.0,22,2167.25,126,2167.0,2167.25,2166.75,2166.75,105,-69,2166.75,181,2167.0,83
2016-09-02 08:10:00,08:10:00,08:10:56,9363,9587,2166.75,183,2167.0,88,2166.75,2167.25,2166.75,2166.75,201,-67,2166.75,142,2167.0,68
2016-09-02 08:11:00,08:11:00,08:11:57,9604,9736,2166.75,144,2167.0,54,2167.0,2167.0,2166.75,2167.0,78,22,2166.75,142,2167.0,51
2016-09-02 08:12:00,08:12:08,08:12:53,9745,9817,2166.75,134,2167.0,62,2166.75,2167.0,2166.75,2166.75,64,-56,2166.75,76,2167.0,98
2016-09-02 08:13:00,08:13:02,08:13:57,9845,9982,2166.75,78,2167.0,99,2166.75,2166.75,2166.75,2166.75,62,-58,2166.5,155,2166.75,10
2016-09-02 08:14:00,08:14:00,08:14:56,10046,10354,2166.5,133,2166.75,58,2166.75,2166.75,2166.5,2166.75,153,75,2166.5,138,2167.0,104
2016-09-02 08:15:00,08:15:00,08:15:59,10391,10924,2166.75,37,2167.0,88,2166.75,2167.0,2166.25,2166.25,174,-46,2166.25,168,2166.5,31
2016-09-02 08:16:00,08:16:03,08:16:57,10936,11054,2166.25,167,2166.5,39,2166.25,2166.5,2166.25,2166.5,64,44,2166.5,1,2166.75,110
2016-09-02 08:17:00,08:17:00,08:17:57,11106,11204,2166.5,44,2166.75,88,2166.75,2166.75,2166.5,2166.75,15,1,2166.5,99,2166.75,85
2016-09-02 08:18:00,08:18:01,08:18:54,11223,11294,2166.5,85,2166.75,100,2166.5,2166.5,2166.5,2166.5,7,-7,2166.5,83,2166.75,121
2016-09-02 08:19:00,08:19:00,08:19:56,11303,11404,2166.5,97,2166.75,119,2166.5,2166.75,2166.5,2166.5,85,-81,2166.25,178,2166.5,10
2016-09-02 08:20:00,08:20:00,08:20:49,11475,11812,2166.25,159,2166.5,120,2166.25,2166.5,2165.75,2165.75,279,-253,2165.75,85,2166.0,140
2016-09-02 08:21:00,08:21:00,08:21:55,11826,12055,2165.75,93,2166.0,150,2166.0,2166.0,2165.75,2166.0,159,65,2166.0,99,2166.25,86
2016-09-02 08:22:00,08:22:21,08:22:59,12100,12245,2166.0,153,2166.25,76,2166.25,2166.5,2166.25,2166.5,66,58,2166.25,87,2166.5,89
2016-09-02 08:23:00,08:23:01,08:23:07,12254,12274,2166.25,85,2166.5,85,2166.5,2166.5,2166.25,2166.25,5,-3,2166.25,68,2166.5,97
2016-09-02 08:24:00,08:24:16,08:24:39,12377,12397,2166.25,109,2166.5,89,2166.5,2166.5,2166.25,2166.25,2,0,2166.25,107,2166.5,93
2016-09-02 08:25:00,08:25:02,08:25:57,12414,12586,2166.25,102,2166.5,124,2166.25,2166.5,2166.0,2166.0,86,-68,2166.0,138,2166.25,82
2016-09-02 08:26:00,08:26:02,08:26:48,12591,12639,2166.0,143,2166.25,81,2166.0,2166.0,2166.0,2166.0,9,-9,2166.0,131,2166.25,90
2016-09-02 08:27:00,08:27:01,08:27:56,12646,12701,2166.0,131,2166.25,84,2166.25,2166.25,2166.0,2166.0,23,-19,2166.0,114,2166.25,92
2016-09-02 08:28:00,08:28:02,08:28:50,12707,12752,2166.0,113,2166.25,92,2166.0,2166.25,2166.0,2166.0,13,-3,2166.0,96,2166.25,87
2016-09-02 08:29:00,08:29:01,08:29:50,12789,12877,2166.0,116,2166.25,64,2166.0,2166.25,2166.0,2166.0,23,-19,2166.0,120,2166.25,94
2016-09-02 08:30:00,08:30:01,08:30:57,12885,13022,2166.0,118,2166.25,94,2166.0,2166.0,2166.0,2166.0,91,-91,2165.75,123,2166.0,1
2016-09-02 08:31:00,08:31:01,08:31:57,13070,13103,2165.75,119,2166.0,101,2166.0,2166.0,2165.75,2165.75,12,-2,2165.75,139,2166.0,113
2016-09-02 08:32:00,08:32:16,08:32:27,13108,13214,2165.75,140,2166.0,114,2166.0,2166.0,2165.75,2166.0,176,164,2166.0,1,2166.25,104
2016-09-02 08:33:00,08:33:03,08:33:59,13306,13412,2166.0,57,2166.25,103,2166.25,2166.25,2166.0,2166.0,34,-26,2166.0,27,2166.25,107
2016-09-02 08:34:00,08:34:09,08:34:59,13424,13458,2166.0,44,2166.25,108,2166.0,2166.0,2166.0,2166.0,2,-2,2166.0,55,2166.25,107
2016-09-02 08:35:00,08:35:12,08:35:30,13464,13505,2166.0,56,2166.25,107,2166.0,2166.25,2166.0,2166.25,27,25,2166.0,89,2166.25,90
2016-09-02 08:36:00,08:36:00,08:36:15,13509,13515,2166.0,89,2166.25,89,2166.25,2166.25,2166.25,2166.25,2,2,2166.0,103,2166.25,90
2016-09-02 08:37:00,08:37:15,08:37:48,13539,13553,2166.0,110,2166.25,101,2166.0,2166.25,2166.0,2166.25,9,7,2166.0,115,2166.25,92
2016-09-02 08:38:00,08:38:01,08:38:55,13559,13598,2166.0,122,2166.25,90,2166.25,2166.25,2166.0,2166.25,20,-10,2166.0,100,2166.25,99
2016-09-02 08:39:00,08:39:01,08:39:58,13601,13702,2166.0,101,2166.25,100,2166.25,2166.25,2166.0,2166.25,55,21,2166.0,118,2166.25,86
2016-09-02 08:40:00,08:40:17,08:40:55,13735,14056,2166.0,123,2166.25,87,2166.25,2166.5,2166.0,2166.0,189,37,2166.0,85,2166.25,75
2016-09-02 08:41:00,08:41:01,08:41:57,14068,14169,2166.0,85,2166.25,76,2166.0,2166.25,2166.0,2166.25,78,40,2166.25,1,2166.5,93
2016-09-02 08:42:00,08:42:00,08:42:59,14208,14331,2166.25,46,2166.5,77,2166.25,2166.5,2166.25,2166.5,47,-11,2166.25,63,2166.5,72
2016-09-02 08:43:00,08:43:01,08:43:59,14337,14618,2166.25,64,2166.5,74,2166.5,2166.75,2166.5,2166.75,124,120,2166.5,68,2166.75,70
2016-09-02 08:44:00,08:44:05,08:44:57,14629,14770,2166.5,70,2166.75,72,2166.75,2166.75,2166.75,2166.75,70,70,2166.5,73,2166.75,37
2016-09-02 08:45:00,08:45:01,08:45:48,14777,14939,2166.5,72,2166.75,44,2166.75,2166.75,2166.5,2166.5,91,-19,2166.5,34,2166.75,53
2016-09-02 08:46:00,08:46:12,08:46:32,14960,15002,2166.5,44,2166.75,60,2166.5,2166.5,2166.5,2166.5,19,-13,2166.25,97,2166.5,17
2016-09-02 08:47:00,08:47:00,08:47:56,15062,15143,2166.25,72,2166.5,46,2166.25,2166.25,2166.25,2166.25,26,-26,2166.25,47,2166.5,66
2016-09-02 08:48:00,08:48:16,08:48:54,15164,15417,2166.25,28,2166.5,85,2166.25,2166.5,2166.25,2166.5,144,32,2166.25,93,2166.5,54
2016-09-02 08:49:00,08:49:12,08:49:40,15472,15512,2166.25,97,2166.5,42,2166.25,2166.25,2166.25,2166.25,24,-24,2166.25,63,2166.5,65
2016-09-02 08:50:00,08:50:00,08:50:00,0,0,0.0,0,0.0,0,2166.25,2166.25,2166.25,2166.25,0,0,0.0,0,0.0,0
2016-09-02 08:51:00,08:51:04,08:51:55,15557,15592,2166.25,86,2166.5,64,2166.25,2166.5,2166.25,2166.25,13,-9,2166.25,63,2166.5,81
2016-09-02 08:52:00,08:52:01,08:52:55,15595,15741,2166.25,63,2166.5,81,2166.25,2166.5,2166.25,2166.5,9,-1,2166.25,82,2166.5,70
2016-09-02 08:53:00,08:53:12,08:53:54,15780,15797,2166.25,92,2166.5,58,2166.5,2166.5,2166.5,2166.5,14,14,2166.25,94,2166.5,55
2016-09-02 08:54:00,08:54:05,08:54:20,15823,15844,2166.25,95,2166.5,53,2166.5,2166.5,2166.25,2166.25,12,-8,2166.25,85,2166.5,68
2016-09-02 08:55:00,08:55:49,08:55:52,15882,15886,2166.25,92,2166.5,72,2166.25,2166.25,2166.25,2166.25,8,-8,2166.25,84,2166.5,79
2016-09-02 08:56:00,08:56:03,08:56:48,15919,15946,2166.25,68,2166.5,82,2166.25,2166.5,2166.25,2166.5,7,-3,2166.25,84,2166.5,70
2016-09-02 08:57:00,08:57:10,08:57:59,15955,15998,2166.25,89,2166.5,57,2166.25,2166.5,2166.25,2166.5,30,-10,2166.25,69,2166.5,63
2016-09-02 08:58:00,08:58:21,08:58:49,16004,16024,2166.25,70,2166.5,67,2166.5,2166.5,2166.5,2166.5,2,2,2166.25,74,2166.5,64
2016-09-02 08:59:00,08:59:00,08:59:00,0,0,0.0,0,0.0,0,2166.5,2166.5,2166.5,2166.5,0,0,0.0,0,0.0,0
2016-09-02 09:00:00,09:00:29,09:00:52,16111,16147,2166.25,90,2166.5,67,2166.5,2166.5,2166.25,2166.25,24,-16,2166.25,79,2166.5,61
2016-09-02 09:01:00,09:01:09,09:01:41,16183,16282,2166.25,84,2166.5,68,2166.5,2166.5,2166.5,2166.5,57,43,2166.5,62,2166.75,70
2016-09-02 09:02:00,09:02:00,09:02:00,0,0,0.0,0,0.0,0,2166.5,2166.5,2166.5,2166.5,0,0,0.0,0,0.0,0
2016-09-02 09:03:00,09:03:26,09:03:57,16331,16350,2166.5,71,2166.75,87,2166.75,2166.75,2166.5,2166.75,12,10,2166.5,73,2166.75,85
2016-09-02 09:04:00,09:04:14,09:04:45,16362,16402,2166.5,68,2166.75,90,2166.75,2166.75,2166.5,2166.5,29,-21,2166.25,92,2166.5,2
2016-09-02 09:05:00,09:05:25,09:05:25,16526,16526,2166.25,18,2166.5,91,2166.25,2166.25,2166.25,2166.25,1,-1,2166.25,17,2166.5,90
2016-09-02 09:06:00,09:06:28,09:06:39,16643,16748,2166.25,87,2166.5,49,2166.5,2166.5,2166.5,2166.5,85,9,2166.5,34,2166.75,83
2016-09-02 09:07:00,09:07:11,09:07:57,16779,16787,2166.5,55,2166.75,83,2166.5,2166.5,2166.5,2166.5,7,-7,2166.5,68,2166.75,94
2016-09-02 09:08:00,09:08:22,09:08:42,16815,16835,2166.5,68,2166.75,95,2166.5,2166.5,2166.5,2166.5,48,-48,2166.25,106,2166.5,2
2016-09-02 09:09:00,09:09:39,09:09:39,16905,16905,2166.25,90,2166.5,62,2166.5,2166.5,2166.5,2166.5,2,2,2166.25,91,2166.5,60
2016-09-02 09:10:00,09:10:15,09:10:23,16932,16937,2166.25,84,2166.5,60,2166.5,2166.5,2166.5,2166.5,3,3,2166.25,85,2166.5,58
2016-09-02 09:11:00,09:11:00,09:11:16,16945,17042,2166.25,84,2166.5,80,2166.5,2166.5,2166.5,2166.5,106,98,2166.5,4,2166.75,89
2016-09-02 09:12:00,09:12:06,09:12:58,17071,17239,2166.5,37,2166.75,80,2166.75,2166.75,2166.5,2166.5,62,-4,2166.25,109,2166.5,1
2016-09-02 09:13:00,09:13:04,09:13:49,17274,17374,2166.25,84,2166.5,39,2166.5,2166.5,2166.25,2166.25,17,-7,2166.25,68,2166.5,70
2016-09-02 09:14:00,09:14:01,09:14:56,17390,17480,2166.25,69,2166.5,71,2166.25,2166.5,2166.25,2166.5,19,-15,2166.25,114,2166.5,25
2016-09-02 09:15:00,09:15:06,09:15:36,17538,17790,2166.25,116,2166.5,54,2166.5,2166.5,2166.25,2166.25,105,-55,2166.0,183,2166.25,37
2016-09-02 09:16:00,09:16:05,09:16:53,17877,18178,2166.0,179,2166.25,41,2166.25,2166.5,2166.0,2166.5,110,4,2166.25,47,2166.5,85
2016-09-02 09:17:00,09:17:41,09:17:53,18244,18399,2166.25,73,2166.5,43,2166.5,2166.5,2166.5,2166.5,63,-13,2166.5,41,2166.75,76
2016-09-02 09:18:00,09:18:20,09:18:55,18461,18600,2166.5,43,2166.75,78,2166.5,2166.5,2166.25,2166.25,36,-30,2166.25,67,2166.5,24
2016-09-02 09:19:00,09:19:02,09:19:19,18660,18832,2166.25,73,2166.5,11,2166.5,2166.5,2166.5,2166.5,25,5,2166.5,27,2166.75,77
2016-09-02 09:20:00,09:20:00,09:20:47,18881,19189,2166.5,13,2166.75,83,2166.5,2166.5,2166.25,2166.5,45,-5,2166.25,51,2166.5,58
2016-09-02 09:21:00,09:21:11,09:21:57,19238,19321,2166.25,80,2166.5,16,2166.25,2166.5,2166.25,2166.5,36,-30,2166.25,56,2166.5,51
2016-09-02 09:22:00,09:22:31,09:22:37,19348,19485,2166.25,67,2166.5,21,2166.5,2166.75,2166.25,2166.5,59,11,2166.25,61,2166.5,60
2016-09-02 09:23:00,09:23:01,09:23:31,19492,19576,2166.25,62,2166.5,62,2166.5,2166.5,2166.25,2166.5,41,-17,2166.25,82,2166.5,37
2016-09-02 09:24:00,09:24:10,09:24:56,19645,19865,2166.25,80,2166.5,28,2166.5,2166.5,2166.25,2166.25,86,-16,2166.25,72,2166.5,38
2016-09-02 09:25:00,09:25:10,09:25:51,19881,19975,2166.25,101,2166.5,46,2166.25,2166.5,2166.25,2166.5,34,-8,2166.25,54,2166.5,59
2016-09-02 09:26:00,09:26:02,09:26:56,19991,20216,2166.25,72,2166.5,58,2166.5,2166.5,2166.0,2166.0,92,-70,2166.0,157,2166.25,44
2016-09-02 09:27:00,09:27:07,09:27:59,20219,20605,2166.0,157,2166.25,44,2166.0,2166.0,2165.75,2166.0,165,-119,2165.75,78,2166.0,84
2016-09-02 09:28:00,09:28:08,09:28:53,20614,20825,2165.75,88,2166.0,86,2165.75,2166.25,2165.75,2166.25,146,82,2166.0,105,2166.25,19
2016-09-02 09:29:00,09:29:12,09:29:49,20884,21010,2166.0,61,2166.25,75,2166.0,2166.0,2166.0,2166.0,73,-59,2166.0,57,2166.25,91
2016-09-02 09:30:00,09:30:00,09:30:57,21043,21217,2166.0,51,2166.25,99,2166.0,2166.25,2166.0,2166.0,55,-11,2166.0,56,2166.25,95
2016-09-02 09:31:00,09:31:02,09:31:41,21272,21393,2166.0,54,2166.25,94,2166.0,2166.25,2166.0,2166.25,59,45,2166.25,1,2166.5,90
2016-09-02 09:32:00,09:32:18,09:32:54,21568,22111,2166.25,79,2166.5,68,2166.5,2166.75,2166.5,2166.75,101,59,2166.5,29,2166.75,83
2016-09-02 09:33:00,09:33:03,09:33:55,22155,22502,2166.5,81,2166.75,85,2166.75,2166.75,2166.5,2166.5,54,-14,2166.25,100,2166.5,8
2016-09-02 09:34:00,09:34:06,09:34:06,22505,22512,2166.25,101,2166.5,9,2166.5,2166.5,2166.5,2166.5,9,9,2166.5,1,2166.75,147
2016-09-02 09:35:00,09:35:00,09:35:49,22665,23062,2166.5,73,2166.75,130,2166.5,2167.0,2166.5,2166.5,162,78,2166.5,63,2166.75,75
2016-09-02 09:36:00,09:36:02,09:36:57,23118,23509,2166.5,90,2166.75,20,2166.75,2166.75,2166.75,2166.75,76,28,2166.5,120,2166.75,2
2016-09-02 09:37:00,09:37:11,09:37:49,23537,23608,2166.5,107,2166.75,2,2166.75,2166.75,2166.75,2166.75,13,-9,2166.5,115,2166.75,1
2016-09-02 09:38:00,09:38:19,09:38:58,23675,23731,2166.5,84,2166.75,43,2166.75,2166.75,2166.75,2166.75,2,2,2166.5,87,2166.75,59
2016-09-02 09:39:00,09:39:02,09:39:32,23749,23899,2166.5,92,2166.75,45,2166.75,2167.0,2166.75,2166.75,74,64,2166.75,45,2167.0,106
2016-09-02 09:40:00,09:40:19,09:40:57,23962,24011,2166.75,35,2167.0,111,2167.0,2167.0,2166.75,2167.0,31,29,2166.75,47,2167.0,97
2016-09-02 09:41:00,09:41:00,09:41:53,24025,24103,2166.75,32,2167.0,102,2166.75,2166.75,2166.75,2166.75,16,-16,2166.75,38,2167.0,104
2016-09-02 09:42:00,09:42:00,09:42:59,24107,24245,2166.75,35,2167.0,107,2167.0,2167.0,2166.5,2166.5,28,2,2166.5,79,2166.75,59
2016-09-02 09:43:00,09:43:19,09:43:42,24263,24270,2166.5,75,2166.75,64,2166.5,2166.75,2166.5,2166.75,5,-1,2166.5,94,2166.75,64
2016-09-02 09:44:00,09:44:10,09:44:48,24337,24435,2166.5,94,2166.75,72,2166.5,2166.75,2166.5,2166.5,4,-2,2166.5,103,2166.75,70
2016-09-02 09:45:00,09:45:05,09:45:55,24449,24489,2166.5,104,2166.75,72,2166.5,2166.75,2166.5,2166.75,9,1,2166.5,92,2166.75,85
2016-09-02 09:46:00,09:46:14,09:46:33,24494,24602,2166.5,93,2166.75,86,2166.5,2166.5,2166.25,2166.5,80,-66,2166.25,84,2166.5,90
2016-09-02 09:47:00,09:47:00,09:47:52,24631,24764,2166.25,83,2166.5,94,2166.25,2166.5,2166.25,2166.25,102,-66,2166.0,175,2166.25,55
2016-09-02 09:48:00,09:48:22,09:48:57,24772,24839,2166.0,178,2166.25,54,2166.0,2166.0,2166.0,2166.0,10,-10,2166.0,189,2166.25,74
2016-09-02 09:49:00,09:49:06,09:49:32,24868,24905,2166.0,192,2166.25,69,2166.25,2166.25,2166.25,2166.25,20,20,2166.0,196,2166.25,53
2016-09-02 09:50:00,09:50:00,09:50:48,25024,25210,2166.0,81,2166.25,122,2166.0,2166.0,2165.75,2165.75,115,-65,2165.75,112,2166.0,80
2016-09-02 09:51:00,09:51:12,09:51:54,25262,25372,2165.75,87,2166.0,127,2165.75,2166.0,2165.75,2165.75,15,-3,2165.75,87,2166.0,116
