,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-06-14 08:00:00,08:00:00,08:00:50,13552,13958,2075.25,71,2075.75,91,2075.25,2076.0,2075.25,2076.0,68,40,2076.0,61,2076.25,99
2016-06-14 08:01:00,08:01:00,08:01:59,13963,14239,2076.0,62,2076.25,100,2076.25,2076.5,2076.0,2076.0,120,-6,2075.75,61,2076.0,1
2016-06-14 08:02:00,08:02:12,08:02:58,14294,14477,2075.75,11,2076.0,101,2075.75,2076.0,2075.75,2075.75,31,-19,2075.75,2,2076.0,93
2016-06-14 08:03:00,08:03:05,08:03:47,14497,14549,2075.75,6,2076.0,94,2076.0,2076.0,2075.75,2075.75,26,24,2075.75,11,2076.0,72
2016-06-14 08:04:00,08:04:02,08:04:53,14562,14742,2075.75,14,2076.0,72,2075.75,2075.75,2075.5,2075.75,28,-26,2075.5,18,2075.75,94
2016-06-14 08:05:00,08:05:00,08:05:56,14748,15250,2075.5,19,2075.75,94,2075.75,2075.75,2075.25,2075.5,120,-88,2075.25,17,2075.5,99
2016-06-14 08:06:00,08:06:00,08:06:56,15304,15670,2075.25,76,2075.5,6,2075.5,2076.0,2075.5,2076.0,36,0,2076.0,1,2076.0,1
2016-06-14 08:07:00,08:07:03,08:07:57,15735,16009,2076.0,75,2076.25,12,2076.25,2076.5,2076.0,2076.25,89,-3,2076.25,3,2076.5,101
2016-06-14 08:08:00,08:08:06,08:08:59,16050,16245,2076.25,62,2076.5,10,2076.5,2076.75,2076.25,2076.5,34,16,2076.25,74,2076.5,2
2016-06-14 08:09:00,08:09:03,08:09:59,16252,16340,2076.25,74,2076.5,3,2076.5,2076.75,2076.5,2076.75,11,7,2076.5,89,2076.75,171
2016-06-14 08:10:00,08:10:04,08:10:54,16387,16499,2076.5,148,2076.75,69,2076.75,2077.0,2076.75,2076.75,83,61,2076.75,4,2077.0,123
2016-06-14 08:11:00,08:11:00,08:11:58,16537,16903,2076.75,11,2077.0,123,2076.75,2077.25,2076.75,2077.0,114,96,2077.0,11,2077.25,112
2016-06-14 08:12:00,08:12:02,08:12:53,16975,17132,2077.0,90,2077.25,16,2077.25,2077.5,2077.25,2077.25,26,4,2077.25,13,2077.5,138
2016-06-14 08:13:00,08:13:00,08:13:37,17135,17249,2077.25,14,2077.5,140,2077.25,2077.5,2077.25,2077.25,10,-4,2077.25,95,2077.5,45
