,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-19 08:00:00,08:00:00,08:00:54,24925,25651,2138.0,48,2138.25,34,2138.25,2138.75,2138.0,2138.5,302,64,2138.25,21,2138.5,20
2016-09-19 08:01:00,08:01:00,08:01:57,25680,26089,2138.25,22,2138.5,41,2138.5,2138.5,2138.0,2138.25,131,-45,2138.0,6,2138.25,57
2016-09-19 08:02:00,08:02:00,08:02:59,26112,26488,2138.0,8,2138.25,61,2138.0,2138.25,2137.75,2137.75,159,-129,2137.75,49,2138.0,11
2016-09-19 08:03:00,08:03:00,08:03:59,26505,26861,2137.75,55,2138.0,9,2138.0,2138.0,2137.5,2137.75,99,-55,2137.75,6,2138.0,67
2016-09-19 08:04:00,08:04:00,08:04:58,26864,27148,2137.75,6,2138.0,67,2138.0,2138.0,2137.75,2138.0,88,36,2137.5,164,2138.0,106
2016-09-19 08:05:00,08:05:06,08:05:55,27177,27297,2137.75,3,2138.0,99,2137.75,2138.0,2137.5,2137.75,55,21,2137.5,172,2138.0,101
2016-09-19 08:06:00,08:06:09,08:06:57,27318,27639,2137.75,32,2138.0,97,2137.75,2138.5,2137.75,2138.25,273,133,2138.0,44,2138.25,35
2016-09-19 08:07:00,08:07:00,08:07:54,27664,27991,2138.0,16,2138.25,60,2138.25,2138.5,2138.0,2138.25,208,130,2138.0,47,2138.5,86
2016-09-19 08:08:00,08:08:00,08:08:59,27996,28253,2138.0,48,2138.5,83,2138.0,2138.5,2138.0,2138.5,85,23,2138.25,49,2138.5,10
2016-09-19 08:09:00,08:09:00,08:09:59,28261,28543,2138.25,49,2138.5,13,2138.5,2139.0,2138.25,2139.0,198,190,2138.75,41,2139.0,40
2016-09-19 08:10:00,08:10:00,08:10:59,28549,28812,2138.75,41,2139.0,43,2139.0,2139.0,2138.5,2139.0,79,-9,2138.75,39,2139.0,56
2016-09-19 08:11:00,08:11:04,08:11:51,28816,29017,2138.75,41,2139.0,56,2138.75,2138.75,2138.5,2138.75,68,6,2138.5,57,2138.75,25
2016-09-19 08:12:00,08:12:00,08:12:39,29037,29087,2138.5,69,2138.75,19,2138.75,2138.75,2138.5,2138.75,11,1,2138.5,80,2138.75,8
2016-09-19 08:13:00,08:13:01,08:13:50,29113,29301,2138.5,76,2138.75,17,2138.5,2139.0,2138.5,2138.75,66,20,2138.75,7,2139.0,119
2016-09-19 08:14:00,08:14:06,08:14:53,29310,29397,2138.75,8,2139.0,121,2138.75,2138.75,2138.5,2138.5,24,-22,2138.5,39,2138.75,56
2016-09-19 08:15:00,08:15:00,08:15:47,29404,29466,2138.5,49,2138.75,56,2138.5,2138.75,2138.5,2138.75,8,-4,2138.5,55,2138.75,57
2016-09-19 08:16:00,08:16:24,08:16:47,29514,29582,2138.5,75,2138.75,50,2138.75,2138.75,2138.5,2138.75,48,24,2138.5,70,2138.75,8
2016-09-19 08:17:00,08:17:00,08:17:50,29587,29770,2138.5,69,2138.75,7,2138.75,2139.0,2138.5,2138.75,68,-44,2138.5,59,2138.75,29
2016-09-19 08:18:00,08:18:04,08:18:35,29785,29995,2138.5,58,2138.75,38,2138.5,2138.5,2138.0,2138.0,77,-55,2138.0,70,2138.25,38
2016-09-19 08:19:00,08:19:08,08:19:53,30021,30090,2138.0,78,2138.25,42,2138.25,2138.25,2138.0,2138.0,17,-1,2138.0,75,2138.25,63
2016-09-19 08:20:00,08:20:02,08:20:58,30109,30307,2138.0,68,2138.25,68,2138.0,2138.25,2138.0,2138.0,126,-98,2138.0,5,2138.25,74
2016-09-19 08:21:00,08:21:00,08:21:45,30312,30379,2138.0,5,2138.25,76,2138.0,2138.0,2138.0,2138.0,5,-5,2138.0,37,2138.25,61
2016-09-19 08:22:00,08:22:02,08:22:56,30398,30434,2138.0,43,2138.25,44,2138.0,2138.25,2138.0,2138.25,7,3,2138.0,53,2138.25,47
2016-09-19 08:23:00,08:23:02,08:23:50,30438,30480,2138.0,57,2138.25,47,2138.25,2138.25,2138.0,2138.25,4,2,2138.0,62,2138.25,47
2016-09-19 08:24:00,08:24:02,08:24:46,30486,30669,2138.0,64,2138.25,41,2138.25,2138.5,2138.0,2138.5,45,31,2138.25,43,2138.5,93
2016-09-19 08:25:00,08:25:00,08:25:58,30702,30868,2138.25,55,2138.5,88,2138.5,2138.5,2138.0,2138.0,70,-52,2138.0,61,2138.25,111
2016-09-19 08:26:00,08:26:00,08:26:58,30870,30943,2138.0,61,2138.25,113,2138.25,2138.25,2138.25,2138.25,5,5,2138.0,66,2138.25,110
2016-09-19 08:27:00,08:27:20,08:27:43,30953,30998,2138.0,67,2138.25,113,2138.0,2138.25,2138.0,2138.25,13,3,2138.0,68,2138.25,109
2016-09-19 08:28:00,08:28:11,08:28:43,31010,31034,2138.0,68,2138.25,112,2138.25,2138.25,2138.0,2138.25,4,2,2138.0,62,2138.25,116
2016-09-19 08:29:00,08:29:00,08:29:42,31040,31081,2138.0,62,2138.25,119,2138.25,2138.25,2138.25,2138.25,8,8,2138.0,63,2138.25,96
2016-09-19 08:30:00,08:30:00,08:30:59,31095,31193,2138.0,63,2138.25,113,2138.25,2138.25,2138.0,2138.0,20,-6,2138.0,55,2138.25,111
2016-09-19 08:31:00,08:31:04,08:31:47,31198,31244,2138.0,54,2138.25,112,2138.0,2138.25,2138.0,2138.25,13,-3,2138.0,32,2138.25,120
2016-09-19 08:32:00,08:32:00,08:32:52,31264,31415,2138.0,38,2138.25,120,2138.25,2138.25,2137.75,2137.75,55,-29,2137.75,82,2138.0,95
2016-09-19 08:33:00,08:33:00,08:33:55,31418,31567,2137.75,82,2138.0,95,2138.0,2138.0,2137.75,2138.0,32,-18,2137.75,22,2138.0,114
2016-09-19 08:34:00,08:34:00,08:34:57,31570,31676,2137.75,21,2138.0,113,2138.0,2138.0,2137.75,2137.75,25,-9,2137.75,20,2138.0,144
