,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-11-10 08:00:00,08:00:00,08:00:59,95391,96223,2157.0,95,2157.25,37,2157.0,2157.75,2157.0,2157.25,697,257,2157.0,148,2157.25,51
2016-11-10 08:01:00,08:01:01,08:01:59,96239,96798,2157.0,150,2157.25,36,2157.0,2157.25,2156.5,2156.75,483,-59,2156.75,88,2157.0,46
2016-11-10 08:02:00,08:02:07,08:02:48,96808,97877,2156.75,96,2157.0,48,2157.0,2157.5,2156.75,2156.75,534,88,2156.5,100,2157.0,65
2016-11-10 08:03:00,08:03:07,08:03:59,98015,98317,2156.75,132,2157.0,19,2157.0,2157.0,2156.75,2157.0,160,-38,2156.75,120,2157.0,69
2016-11-10 08:04:00,08:04:04,08:04:55,98329,98609,2156.75,127,2157.0,70,2157.0,2157.25,2156.75,2157.0,228,-32,2156.75,122,2157.0,53
2016-11-10 08:05:00,08:05:00,08:05:57,98632,99979,2156.75,124,2157.0,62,2156.75,2157.5,2156.75,2157.25,691,251,2157.0,72,2157.25,38
2016-11-10 08:06:00,08:06:00,08:06:59,99994,100841,2157.0,72,2157.25,42,2157.25,2157.25,2156.75,2157.0,373,33,2157.0,26,2157.25,74
2016-11-10 08:07:00,08:07:01,08:07:56,100868,102568,2157.0,70,2157.25,63,2157.0,2157.5,2157.0,2157.25,718,120,2157.25,90,2157.5,106
2016-11-10 08:08:00,08:08:03,08:08:55,102607,103121,2157.25,108,2157.5,106,2157.25,2157.5,2157.25,2157.25,353,71,2157.25,1,2157.5,222
2016-11-10 08:09:00,08:09:00,08:09:57,103165,103626,2157.25,47,2157.5,219,2157.25,2157.75,2157.25,2157.75,172,56,2157.5,82,2157.75,123
2016-11-10 08:10:00,08:10:02,08:10:55,103640,104392,2157.5,94,2157.75,116,2157.5,2157.75,2157.5,2157.75,306,56,2157.5,86,2157.75,84
2016-11-10 08:11:00,08:11:02,08:11:56,104402,105506,2157.5,94,2157.75,83,2157.5,2157.75,2156.5,2156.5,458,-172,2156.5,79,2156.75,61
2016-11-10 08:12:00,08:12:01,08:12:58,105639,107602,2156.5,77,2156.75,65,2156.5,2156.75,2155.75,2156.0,1149,-373,2155.75,67,2156.25,93
2016-11-10 08:13:00,08:13:01,08:13:59,107676,108947,2155.75,79,2156.0,9,2156.0,2156.25,2155.5,2155.75,345,-61,2155.75,1,2156.0,95
2016-11-10 08:14:00,08:14:06,08:14:58,109043,109869,2155.75,110,2156.0,82,2156.0,2156.25,2155.75,2156.25,430,-66,2156.0,14,2156.25,82
2016-11-10 08:15:00,08:15:00,08:15:56,109918,110650,2156.0,92,2156.25,72,2156.0,2156.5,2156.0,2156.5,380,36,2156.5,10,2156.75,97
2016-11-10 08:16:00,08:16:00,08:16:59,110697,111707,2156.5,98,2156.75,92,2156.5,2156.75,2155.5,2155.5,401,-237,2155.5,144,2155.75,5
2016-11-10 08:17:00,08:17:00,08:17:58,111716,112354,2155.5,144,2155.75,7,2155.75,2156.0,2155.5,2156.0,296,-24,2155.75,73,2156.0,67
2016-11-10 08:18:00,08:18:03,08:18:56,112363,113091,2155.75,80,2156.0,67,2155.75,2156.0,2155.5,2155.75,322,-98,2155.75,10,2156.0,66
2016-11-10 08:19:00,08:19:00,08:19:59,113163,113896,2155.75,81,2156.0,61,2156.0,2156.25,2155.75,2156.0,339,21,2156.0,78,2156.25,43
2016-11-10 08:20:00,08:20:02,08:20:54,113908,114460,2156.0,87,2156.25,40,2156.0,2156.75,2156.0,2156.75,249,79,2156.5,63,2156.75,72
2016-11-10 08:21:00,08:21:03,08:21:57,114477,115225,2156.5,63,2156.75,82,2156.5,2156.75,2156.25,2156.25,269,-35,2156.25,2,2156.5,88
2016-11-10 08:22:00,08:22:08,08:22:52,115378,115912,2156.25,83,2156.5,72,2156.25,2156.5,2156.25,2156.25,194,-48,2156.25,5,2156.5,73
2016-11-10 08:23:00,08:23:02,08:23:58,116021,116684,2156.25,42,2156.5,68,2156.25,2156.75,2156.25,2156.75,217,5,2156.5,39,2156.75,52
2016-11-10 08:24:00,08:24:00,08:24:59,116706,117285,2156.5,75,2156.75,50,2156.75,2157.0,2156.5,2156.75,255,119,2156.75,81,2157.0,53
2016-11-10 08:25:00,08:25:00,08:25:57,117290,117700,2156.75,81,2157.0,55,2157.0,2157.0,2156.75,2157.0,215,173,2156.75,79,2157.0,8
2016-11-10 08:26:00,08:26:04,08:26:59,117746,118244,2156.75,83,2157.0,13,2157.0,2157.25,2157.0,2157.0,269,75,2156.75,107,2157.25,100
2016-11-10 08:27:00,08:27:01,08:27:58,118292,118737,2156.75,121,2157.0,13,2157.0,2157.5,2156.75,2157.0,259,-13,2156.75,98,2157.0,30
