,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-08-09 08:00:00,08:00:00,08:00:58,10206,10523,2175.0,125,2175.25,10,2175.0,2175.25,2175.0,2175.0,103,-41,2175.0,85,2175.25,80
2016-08-09 08:01:00,08:01:00,08:01:58,10527,10797,2175.0,89,2175.25,81,2175.0,2175.25,2175.0,2175.0,81,-31,2175.0,92,2175.25,68
2016-08-09 08:02:00,08:02:03,08:02:55,10801,10933,2175.0,94,2175.25,68,2175.25,2175.25,2175.0,2175.0,40,8,2175.0,96,2175.25,37
2016-08-09 08:03:00,08:03:00,08:03:55,10963,11182,2175.0,101,2175.25,46,2175.25,2175.5,2175.25,2175.5,60,40,2175.25,63,2175.5,152
2016-08-09 08:04:00,08:04:00,08:04:55,11189,11290,2175.25,62,2175.5,153,2175.5,2175.5,2175.25,2175.25,12,-8,2175.25,80,2175.5,125
2016-08-09 08:05:00,08:05:02,08:05:57,11352,11839,2175.25,85,2175.5,135,2175.25,2175.75,2175.25,2175.5,323,3,2175.25,123,2175.5,4
2016-08-09 08:06:00,08:06:02,08:06:57,11859,12093,2175.25,129,2175.5,4,2175.5,2175.5,2175.25,2175.5,87,33,2175.25,134,2175.5,26
2016-08-09 08:07:00,08:07:03,08:07:55,12104,12443,2175.25,133,2175.5,27,2175.5,2175.5,2175.25,2175.25,85,11,2175.25,143,2175.5,16
2016-08-09 08:08:00,08:08:02,08:08:49,12484,12663,2175.25,133,2175.5,42,2175.5,2175.5,2175.25,2175.25,22,2,2175.25,121,2175.5,56
2016-08-09 08:09:00,08:09:03,08:09:54,12677,12772,2175.25,121,2175.5,55,2175.5,2175.5,2175.25,2175.25,32,14,2175.25,126,2175.5,55
2016-08-09 08:10:00,08:10:00,08:10:55,12776,12830,2175.25,127,2175.5,55,2175.5,2175.5,2175.25,2175.25,17,7,2175.25,128,2175.5,43
2016-08-09 08:11:00,08:11:00,08:11:53,12834,13014,2175.25,128,2175.5,44,2175.5,2175.5,2175.0,2175.0,97,-81,2175.0,113,2175.25,81
2016-08-09 08:12:00,08:12:01,08:12:44,13027,13334,2175.0,120,2175.25,84,2175.25,2175.5,2175.0,2175.25,140,12,2175.0,140,2175.25,23
2016-08-09 08:13:00,08:13:01,08:13:50,13381,13497,2175.0,131,2175.25,48,2175.0,2175.25,2175.0,2175.25,29,15,2175.25,24,2175.5,108
2016-08-09 08:14:00,08:14:15,08:14:56,13587,13645,2175.25,67,2175.5,95,2175.25,2175.5,2175.25,2175.25,9,-1,2175.25,88,2175.5,118
2016-08-09 08:15:00,08:15:00,08:15:51,13651,13915,2175.25,88,2175.5,135,2175.25,2175.75,2175.25,2175.75,174,118,2175.5,59,2175.75,130
2016-08-09 08:16:00,08:16:39,08:16:39,14069,14069,2175.5,55,2175.75,144,2175.75,2175.75,2175.75,2175.75,10,10,2175.5,56,2175.75,134
2016-08-09 08:17:00,08:17:07,08:17:58,14125,14246,2175.5,74,2175.75,138,2175.75,2175.75,2175.5,2175.5,45,33,2175.5,88,2175.75,120
2016-08-09 08:18:00,08:18:09,08:18:56,14255,14317,2175.5,96,2175.75,121,2175.75,2175.75,2175.5,2175.5,20,-4,2175.5,79,2175.75,122
2016-08-09 08:19:00,08:19:08,08:19:14,14354,14431,2175.5,104,2175.75,93,2175.75,2175.75,2175.75,2175.75,5,5,2175.5,107,2175.75,114
2016-08-09 08:20:00,08:20:01,08:20:48,14473,14770,2175.5,139,2175.75,104,2175.75,2176.0,2175.75,2175.75,207,55,2175.5,152,2175.75,52
2016-08-09 08:21:00,08:21:00,08:21:53,14788,15111,2175.5,152,2175.75,56,2175.75,2176.0,2175.75,2175.75,137,57,2175.5,181,2175.75,2
2016-08-09 08:22:00,08:22:01,08:22:58,15124,15258,2175.5,173,2175.75,8,2175.75,2176.0,2175.75,2175.75,24,-6,2175.75,42,2176.0,137
2016-08-09 08:23:00,08:23:02,08:23:58,15262,15341,2175.75,47,2176.0,138,2176.0,2176.0,2176.0,2176.0,55,55,2175.75,63,2176.0,83
2016-08-09 08:24:00,08:24:02,08:24:38,15367,15564,2175.75,63,2176.0,80,2176.0,2176.0,2175.75,2176.0,60,-6,2175.75,43,2176.0,115
2016-08-09 08:25:00,08:25:00,08:25:03,15605,15608,2175.75,55,2176.0,107,2175.75,2176.0,2175.75,2176.0,2,0,2175.75,56,2176.0,106
2016-08-09 08:26:00,08:26:12,08:26:57,15621,15657,2175.75,57,2176.0,111,2176.0,2176.0,2176.0,2176.0,6,6,2175.75,56,2176.0,105
2016-08-09 08:27:00,08:27:16,08:27:54,15691,15825,2175.75,28,2176.0,116,2176.0,2176.0,2175.75,2175.75,74,-56,2175.75,11,2176.0,112
2016-08-09 08:28:00,08:28:01,08:28:55,15841,16101,2175.75,8,2176.0,112,2175.75,2176.0,2175.75,2175.75,106,-16,2175.75,4,2176.0,120
2016-08-09 08:29:00,08:29:00,08:29:54,16109,16375,2175.75,7,2176.0,111,2175.75,2175.75,2175.75,2175.75,105,43,2175.5,192,2175.75,7
2016-08-09 08:30:00,08:30:00,08:30:58,16386,16598,2175.5,201,2175.75,9,2175.75,2175.75,2175.5,2175.5,39,21,2175.5,203,2175.75,2
2016-08-09 08:31:00,08:31:06,08:31:30,16624,16727,2175.5,204,2175.75,21,2175.75,2175.75,2175.75,2175.75,16,12,2175.5,216,2175.75,2
2016-08-09 08:32:00,08:32:03,08:32:44,16809,16866,2175.5,211,2175.75,42,2175.75,2175.75,2175.5,2175.75,18,-6,2175.5,200,2175.75,57
2016-08-09 08:33:00,08:33:00,08:33:39,16883,16966,2175.5,200,2175.75,65,2175.5,2175.75,2175.5,2175.5,35,-7,2175.5,203,2175.75,51
2016-08-09 08:34:00,08:34:07,08:34:56,16977,17255,2175.5,206,2175.75,49,2175.75,2176.0,2175.75,2175.75,139,45,2175.5,213,2176.0,115
2016-08-09 08:35:00,08:35:54,08:35:54,17316,17316,2175.75,70,2176.0,105,2175.75,2175.75,2175.75,2175.75,1,-1,2175.75,69,2176.0,104
2016-08-09 08:36:00,08:36:03,08:36:36,17319,17350,2175.75,70,2176.0,105,2176.0,2176.0,2176.0,2176.0,6,6,2175.75,95,2176.0,97
2016-08-09 08:37:00,08:37:03,08:37:16,17364,17380,2175.75,97,2176.0,98,2176.0,2176.0,2176.0,2176.0,4,4,2175.75,98,2176.0,107
2016-08-09 08:38:00,08:38:07,08:38:54,17404,17440,2175.75,105,2176.0,104,2175.75,2176.0,2175.75,2176.0,12,8,2175.75,104,2176.0,105
2016-08-09 08:39:00,08:39:02,08:39:58,17445,18405,2175.75,104,2176.0,105,2176.0,2176.75,2176.0,2176.75,771,367,2176.5,144,2176.75,161
2016-08-09 08:40:00,08:40:00,08:40:55,18423,18730,2176.5,155,2176.75,138,2176.5,2176.75,2176.5,2176.5,227,51,2176.25,243,2176.75,141
2016-08-09 08:41:00,08:41:15,08:41:43,18793,18848,2176.25,154,2176.5,68,2176.5,2176.5,2176.25,2176.25,16,-10,2176.25,149,2176.5,102
2016-08-09 08:42:00,08:42:06,08:42:53,18867,18983,2176.25,151,2176.5,87,2176.25,2176.5,2176.25,2176.25,9,-5,2176.25,136,2176.5,113
2016-08-09 08:43:00,08:43:19,08:43:41,19055,19074,2176.25,137,2176.5,128,2176.5,2176.5,2176.25,2176.5,6,0,2176.25,135,2176.5,126
2016-08-09 08:44:00,08:44:09,08:44:47,19104,19132,2176.25,135,2176.5,122,2176.5,2176.5,2176.25,2176.25,13,-9,2176.25,128,2176.5,117
2016-08-09 08:45:00,08:45:00,08:45:14,19146,19219,2176.25,159,2176.5,112,2176.25,2176.5,2176.25,2176.25,23,-19,2176.25,115,2176.5,121
2016-08-09 08:46:00,08:46:02,08:46:46,19276,19624,2176.25,131,2176.5,119,2176.5,2176.5,2176.0,2176.0,174,-100,2176.0,195,2176.25,36
2016-08-09 08:47:00,08:47:00,08:47:59,19674,19769,2176.0,98,2176.25,93,2176.25,2176.25,2176.0,2176.0,13,5,2176.0,127,2176.25,55
2016-08-09 08:48:00,08:48:01,08:48:47,19775,19796,2176.0,128,2176.25,56,2176.0,2176.25,2176.0,2176.0,5,1,2176.0,128,2176.25,56
2016-08-09 08:49:00,08:49:07,08:49:56,19799,19893,2176.0,128,2176.25,56,2176.25,2176.25,2176.0,2176.0,52,44,2176.0,129,2176.25,51
2016-08-09 08:50:00,08:50:00,08:50:54,19896,20104,2176.0,129,2176.25,51,2176.0,2176.25,2176.0,2176.0,133,-103,2175.75,92,2176.0,55
2016-08-09 08:51:00,08:51:00,08:51:45,20110,20276,2175.75,93,2176.0,46,2175.75,2176.0,2175.5,2175.5,75,-61,2175.5,126,2175.75,44
2016-08-09 08:52:00,08:52:01,08:52:40,20294,20389,2175.5,127,2175.75,54,2175.75,2175.75,2175.5,2175.5,22,-20,2175.5,130,2175.75,58
2016-08-09 08:53:00,08:53:00,08:53:48,20411,20443,2175.5,129,2175.75,110,2175.5,2175.75,2175.5,2175.5,26,-24,2175.5,105,2175.75,113
2016-08-09 08:54:00,08:54:02,08:54:55,20451,20504,2175.5,104,2175.75,102,2175.75,2175.75,2175.5,2175.5,46,-44,2175.5,72,2175.75,111
2016-08-09 08:55:00,08:55:03,08:55:59,20512,20661,2175.5,73,2175.75,101,2175.5,2175.75,2175.5,2175.75,45,-39,2175.5,50,2175.75,124
2016-08-09 08:56:00,08:56:04,08:56:34,20670,20735,2175.5,60,2175.75,111,2175.5,2175.5,2175.5,2175.5,42,-42,2175.5,24,2175.75,115
2016-08-09 08:57:00,08:57:04,08:57:52,20786,20840,2175.5,52,2175.75,114,2175.5,2175.75,2175.5,2175.5,26,-22,2175.5,57,2175.75,136
2016-08-09 08:58:00,08:58:04,08:58:53,20844,20974,2175.5,67,2175.75,136,2175.5,2175.75,2175.5,2175.5,137,-107,2175.5,35,2175.75,105
2016-08-09 08:59:00,08:59:09,08:59:35,21010,21046,2175.5,26,2175.75,137,2175.5,2175.5,2175.5,2175.5,14,-14,2175.5,19,2175.75,141
2016-08-09 09:00:00,09:00:04,09:00:53,21084,21309,2175.5,7,2175.75,141,2175.5,2175.5,2175.25,2175.25,58,2,2175.25,126,2175.5,51
2016-08-09 09:01:00,09:01:06,09:01:54,21356,21448,2175.25,125,2175.5,53,2175.25,2175.5,2175.25,2175.5,4,-2,2175.25,113,2175.5,51
2016-08-09 09:02:00,09:02:00,09:02:46,21466,21512,2175.25,105,2175.5,72,2175.5,2175.5,2175.5,2175.5,24,24,2175.25,110,2175.5,54
2016-08-09 09:03:00,09:03:37,09:03:51,21547,21616,2175.25,119,2175.5,52,2175.5,2175.5,2175.5,2175.5,48,0,2175.25,138,2175.5,9
2016-08-09 09:04:00,09:04:00,09:04:44,21646,21789,2175.25,140,2175.5,20,2175.5,2175.5,2175.25,2175.25,34,0,2175.25,138,2175.5,97
2016-08-09 09:05:00,09:05:24,09:05:47,21815,21842,2175.25,140,2175.5,69,2175.25,2175.5,2175.25,2175.5,3,-1,2175.25,140,2175.5,100
2016-08-09 09:06:00,09:06:50,09:06:57,21887,21912,2175.25,136,2175.5,101,2175.5,2175.5,2175.25,2175.25,15,-13,2175.25,112,2175.5,113
2016-08-09 09:07:00,09:07:00,09:07:00,0,0,0.0,0,0.0,0,2175.25,2175.25,2175.25,2175.25,0,0,0.0,0,0.0,0
2016-08-09 09:08:00,09:08:03,09:08:54,21933,21960,2175.25,124,2175.5,106,2175.5,2175.5,2175.25,2175.25,14,-6,2175.25,113,2175.5,106
2016-08-09 09:09:00,09:09:10,09:09:50,21973,22265,2175.25,114,2175.5,99,2175.5,2175.5,2175.5,2175.5,117,43,2175.25,150,2175.5,14
2016-08-09 09:10:00,09:10:02,09:10:26,22297,22335,2175.25,132,2175.5,75,2175.5,2175.5,2175.25,2175.25,2,0,2175.25,106,2175.5,80
2016-08-09 09:11:00,09:11:02,09:11:56,22354,22461,2175.25,106,2175.5,80,2175.5,2175.5,2175.25,2175.25,7,-5,2175.25,98,2175.5,91
2016-08-09 09:12:00,09:12:25,09:12:53,22494,22573,2175.25,99,2175.5,92,2175.5,2175.5,2175.5,2175.5,93,39,2175.5,10,2175.75,136
2016-08-09 09:13:00,09:13:18,09:13:51,22605,22714,2175.5,17,2175.75,136,2175.5,2175.5,2175.5,2175.5,45,11,2175.5,6,2175.75,136
2016-08-09 09:14:00,09:14:06,09:14:57,22774,22860,2175.5,48,2175.75,125,2175.5,2175.75,2175.5,2175.75,23,-17,2175.5,68,2175.75,103
2016-08-09 09:15:00,09:15:01,09:15:37,22892,23068,2175.5,82,2175.75,108,2175.75,2175.75,2175.25,2175.25,117,-85,2175.25,88,2175.5,77
2016-08-09 09:16:00,09:16:02,09:16:48,23193,23223,2175.25,86,2175.5,92,2175.25,2175.5,2175.25,2175.25,28,-24,2175.25,57,2175.5,90
2016-08-09 09:17:00,09:17:19,09:17:49,23244,23415,2175.25,71,2175.5,84,2175.25,2175.75,2175.25,2175.75,93,57,2175.5,46,2175.75,111
2016-08-09 09:18:00,09:18:28,09:18:54,23484,23656,2175.5,8,2175.75,142,2175.5,2175.75,2175.5,2175.75,32,10,2175.5,43,2175.75,130
2016-08-09 09:19:00,09:19:06,09:19:48,23667,23718,2175.5,49,2175.75,131,2175.75,2175.75,2175.75,2175.75,9,9,2175.5,46,2175.75,147
2016-08-09 09:20:00,09:20:29,09:20:56,23739,23890,2175.5,16,2175.75,157,2175.5,2175.5,2175.5,2175.5,62,-24,2175.25,96,2175.5,53
2016-08-09 09:21:00,09:21:19,09:21:52,23918,24010,2175.25,100,2175.5,57,2175.5,2175.5,2175.5,2175.5,22,6,2175.25,115,2175.5,3
2016-08-09 09:22:00,09:22:07,09:22:39,24051,24196,2175.5,17,2175.75,161,2175.5,2175.5,2175.5,2175.5,53,-21,2175.5,5,2175.75,168
