,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-09-12 08:00:00,08:00:00,08:00:58,32627,33128,2119.75,8,2120.0,100,2120.0,2120.0,2119.5,2119.5,299,-47,2119.5,63,2119.75,21
2016-09-12 08:01:00,08:01:03,08:01:58,33255,33552,2119.5,40,2119.75,70,2119.75,2119.75,2119.25,2119.5,109,-3,2119.5,2,2119.75,101
2016-09-12 08:02:00,08:02:00,08:02:56,33564,34128,2119.5,16,2119.75,101,2119.75,2120.0,2119.5,2120.0,292,62,2120.0,3,2120.25,88
2016-09-12 08:03:00,08:03:00,08:03:56,34139,34686,2120.0,12,2120.25,88,2120.0,2120.75,2120.0,2120.25,219,43,2120.25,29,2120.5,88
2016-09-12 08:04:00,08:04:00,08:04:51,34712,34944,2120.25,26,2120.5,91,2120.25,2120.5,2120.25,2120.25,59,-49,2120.25,8,2120.5,73
2016-09-12 08:05:00,08:05:00,08:05:50,34949,35379,2120.25,8,2120.5,73,2120.25,2120.5,2120.0,2120.25,93,-27,2120.0,27,2120.25,45
2016-09-12 08:06:00,08:06:06,08:06:47,35432,35550,2120.0,104,2120.25,4,2120.25,2120.5,2120.25,2120.25,25,-7,2120.0,116,2120.25,3
2016-09-12 08:07:00,08:07:08,08:07:49,35554,35747,2120.0,116,2120.25,8,2120.0,2120.0,2120.0,2120.0,12,-12,2120.0,69,2120.25,77
2016-09-12 08:08:00,08:08:04,08:08:53,35785,36062,2120.0,78,2120.25,73,2120.25,2120.25,2119.25,2119.25,207,-175,2119.25,43,2119.5,81
2016-09-12 08:09:00,08:09:02,08:09:58,36070,36258,2119.25,43,2119.5,99,2119.5,2119.5,2119.25,2119.5,80,4,2119.25,142,2119.5,41
2016-09-12 08:10:00,08:10:02,08:10:45,36264,36499,2119.25,144,2119.5,43,2119.5,2119.75,2119.25,2119.25,136,-2,2119.25,108,2119.5,35
