,ST,ET,sidx,eidx,bB,bBS,bA,bAS,O,H,L,C,V,OF,eB,eBS,eA,eAS
2016-07-15 08:00:00,08:00:00,08:00:59,21150,22341,2153.5,116,2153.75,85,2153.75,2154.25,2153.25,2154.0,473,169,2154.0,196,2154.25,67
2016-07-15 08:01:00,08:01:00,08:01:58,22347,23309,2154.0,196,2154.25,74,2154.25,2154.5,2153.5,2153.75,602,-216,2153.5,76,2153.75,1
2016-07-15 08:02:00,08:02:00,08:02:59,23358,23694,2153.5,41,2153.75,43,2153.5,2153.75,2153.25,2153.5,124,-74,2153.5,85,2153.75,78
2016-07-15 08:03:00,08:03:01,08:03:59,23699,23979,2153.5,87,2153.75,78,2153.5,2153.75,2153.25,2153.5,163,-11,2153.5,68,2153.75,56
2016-07-15 08:04:00,08:04:00,08:04:59,23985,24391,2153.5,68,2153.75,58,2153.75,2154.25,2153.75,2154.0,156,70,2154.0,122,2154.25,89
2016-07-15 08:05:00,08:05:03,08:05:54,24401,24831,2154.0,123,2154.25,95,2154.25,2154.75,2154.25,2154.75,264,92,2154.5,57,2154.75,98
2016-07-15 08:06:00,08:06:01,08:06:59,24875,25507,2154.5,69,2154.75,102,2154.5,2154.75,2154.0,2154.5,388,56,2154.5,78,2154.75,70
2016-07-15 08:07:00,08:07:00,08:07:59,25512,25902,2154.5,79,2154.75,73,2154.5,2154.75,2154.25,2154.25,105,-69,2154.25,74,2154.5,111
2016-07-15 08:08:00,08:08:01,08:08:57,25906,26313,2154.25,75,2154.5,111,2154.25,2154.75,2154.25,2154.75,213,127,2154.5,66,2154.75,56
2016-07-15 08:09:00,08:09:00,08:09:59,26328,26504,2154.5,79,2154.75,62,2154.75,2154.75,2154.5,2154.5,74,24,2154.5,87,2154.75,46
2016-07-15 08:10:00,08:10:00,08:10:54,26513,26761,2154.5,84,2154.75,59,2154.75,2154.75,2154.25,2154.25,76,-58,2154.25,91,2154.5,108
2016-07-15 08:11:00,08:11:01,08:11:52,26781,27128,2154.25,84,2154.5,108,2154.5,2154.5,2154.25,2154.5,99,-25,2154.25,19,2154.5,104
2016-07-15 08:12:00,08:12:05,08:12:59,27168,27457,2154.25,76,2154.5,88,2154.25,2154.5,2154.25,2154.25,122,26,2154.25,90,2154.5,41
